clock,value
1,0
2,766
3,766
4,766
5,766
6,766
7,766
8,766
9,766
10,766
11,766
12,766
13,766
14,766
15,766
16,766
17,766
18,766
19,766
20,766
21,766
22,766
23,766
24,766
25,766
26,766
27,766
28,766
29,766
30,766
31,766
32,766
33,766
34,766
35,766
36,766
37,766
38,754
39,754
40,754
41,754
42,754
43,754
44,754
45,754
46,754
47,754
48,754
49,754
50,736
51,736
52,736
53,736
54,798
55,798
56,798
57,798
58,736
59,736
60,736
61,736
62,736
63,754
64,754
65,754
66,754
67,754
68,754
69,754
70,754
71,754
72,766
73,766
74,766
75,766
76,766
77,766
78,766
79,766
80,766
81,766
82,766
83,766
84,766
85,766
86,766
87,766
88,766
89,766
90,754
91,754
92,754
93,754
94,754
95,754
96,754
97,754
98,754
99,754
100,754
101,754
102,754
103,754
104,754
105,754
106,754
107,754
108,754
109,754
110,754
111,754
112,754
113,754
114,754
115,754
116,766
117,766
118,766
119,766
120,766
121,766
122,766
123,766
124,766
125,766
126,766
127,766
128,766
129,766
130,766
131,766
132,766
133,766
134,766
135,766
136,766
137,766
138,766
139,766
140,766
141,766
142,766
143,766
144,766
145,766
146,766
147,766
148,766
149,766
150,754
151,754
152,754
153,766
154,766
155,766
156,766
157,766
158,766
159,766
160,766
161,766
162,754
163,754
164,754
165,754
166,736
167,736
168,754
169,754
170,754
171,754
172,766
173,766
174,766
175,754
176,754
177,736
178,736
179,736
180,798
181,798
182,798
183,798
184,736
185,736
186,736
187,736
188,798
189,798
190,798
191,750
192,768
193,857
194,857
195,782
196,782
197,770
198,770
199,862
200,770
201,862
202,814
203,814
204,814
205,814
206,814
207,814
208,814
209,814
210,814
211,814
212,814
213,814
214,766
215,766
216,766
217,766
218,766
219,766
220,766
221,814
222,814
223,814
224,770
225,782
226,782
227,857
228,768
229,750
230,750
231,786
232,786
233,768
234,768
235,768
236,857
237,782
238,782
239,814
240,802
241,798
242,786
243,857
244,857
245,857
246,857
247,857
248,786
249,798
250,846
251,784
252,784
253,784
254,784
255,802
256,802
257,802
258,814
259,814
260,814
261,782
262,782
263,857
264,786
265,736
266,766
267,734
268,782
269,750
270,706
271,718
272,722
273,734
274,702
275,688
276,718
277,686
278,672
279,702
280,670
281,670
282,656
283,686
284,624
285,654
286,654
287,654
288,654
289,640
290,610
291,610
292,610
293,702
294,654
295,654
296,654
297,642
298,624
299,686
300,686
301,638
302,718
303,670
304,658
305,702
306,702
307,672
308,734
309,686
310,674
311,718
312,718
313,688
314,702
315,702
316,690
317,734
318,734
319,734
320,722
321,704
322,704
323,766
324,766
325,766
326,766
327,766
328,766
329,766
330,766
331,766
332,766
333,766
334,766
335,766
336,766
337,766
338,766
339,766
340,766
341,766
342,766
343,766
344,766
345,766
346,766
347,766
348,766
349,766
350,766
351,766
352,704
353,704
354,704
355,704
356,704
357,704
358,704
359,722
360,722
361,722
362,722
363,722
364,734
365,734
366,734
367,734
368,734
369,734
370,734
371,734
372,734
373,734
374,734
375,734
376,734
377,734
378,734
379,734
380,734
381,734
382,734
383,734
384,734
385,734
386,734
387,734
388,734
389,734
390,734
391,734
392,734
393,734
394,734
395,734
396,734
397,734
398,734
399,734
400,734
401,734
402,734
403,734
404,734
405,734
406,734
407,734
408,734
409,734
410,734
411,734
412,734
413,734
414,734
415,734
416,734
417,734
418,734
419,734
420,734
421,734
422,734
423,734
424,734
425,734
426,734
427,734
428,734
429,734
430,690
431,690
432,690
433,690
434,734
435,690
436,690
437,690
438,690
439,690
440,690
441,690
442,690
443,690
444,690
445,734
446,734
447,734
448,734
449,734
450,734
451,734
452,734
453,734
454,734
455,734
456,734
457,734
458,734
459,734
460,734
461,734
462,734
463,734
464,734
465,734
466,734
467,734
468,690
469,690
470,690
471,690
472,690
473,690
474,690
475,690
476,690
477,690
478,690
479,690
480,690
481,690
482,690
483,690
484,690
485,690
486,690
487,690
488,734
489,734
490,734
491,734
492,734
493,734
494,734
495,734
496,734
497,734
498,734
499,734
500,734
501,734
502,734
503,734
504,734
505,734
506,734
507,734
508,734
509,734
510,734
511,734
512,734
513,734
514,734
515,734
516,734
517,722
518,704
519,704
520,766
521,766
522,766
523,766
524,766
525,766
526,766
527,766
528,766
529,766
530,766
531,704
532,704
533,704
534,704
535,766
536,766
537,718
538,718
539,706
540,750
541,720
542,734
543,766
544,798
545,857
546,770
547,766
548,846
549,798
550,846
551,802
552,752
553,782
554,750
555,736
556,766
557,766
558,722
559,734
560,734
561,782
562,720
563,720
564,750
565,750
566,750
567,706
568,718
569,718
570,718
571,766
572,766
573,704
574,704
575,704
576,704
577,704
578,704
579,704
580,722
581,722
582,734
583,734
584,734
585,734
586,734
587,734
588,734
589,734
590,734
591,734
592,734
593,734
594,734
595,734
596,734
597,734
598,734
599,734
600,734
601,734
602,734
603,734
604,734
605,734
606,734
607,734
608,734
609,734
610,734
611,734
612,734
613,734
614,734
615,734
616,734
617,734
618,734
619,734
620,734
621,734
622,734
623,734
624,734
625,734
626,734
627,734
628,734
629,734
630,734
631,734
632,734
633,734
634,734
635,734
636,734
637,734
638,734
639,734
640,734
641,734
642,734
643,734
644,734
645,734
646,734
647,734
648,734
649,734
650,734
651,734
652,734
653,734
654,734
655,734
656,734
657,734
658,734
659,734
660,734
661,734
662,734
663,734
664,734
665,734
666,734
667,734
668,734
669,734
670,734
671,734
672,734
673,734
674,734
675,734
676,734
677,734
678,734
679,734
680,734
681,734
682,734
683,734
684,734
685,734
686,734
687,734
688,734
689,734
690,734
691,734
692,734
693,690
694,734
695,734
696,718
697,814
698,814
699,818
700,926
701,1022
702,1104
703,1282
704,1371
705,1389
706,1509
707,1563
708,1653
709,1635
710,1626
711,1509
712,1437
713,1419
714,1358
715,1166
716,1038
717,926
718,782
719,734
720,734
721,702
722,686
723,654
724,670
725,670
726,638
727,686
728,638
729,686
730,642
731,686
732,638
733,638
734,686
735,686
736,638
737,638
738,638
739,656
740,670
741,670
742,670
743,640
744,702
745,672
746,686
747,674
748,718
749,718
750,688
751,688
752,750
753,750
754,702
755,702
756,702
757,702
758,702
759,702
760,702
761,702
762,702
763,702
764,702
765,702
766,702
767,702
768,702
769,702
770,702
771,690
772,690
773,690
774,690
775,690
776,690
777,690
778,690
779,690
780,690
781,690
782,690
783,690
784,702
785,702
786,702
787,702
788,702
789,702
790,702
791,702
792,702
793,702
794,702
795,702
796,702
797,702
798,702
