clock,value
1,0
2,978
3,978
4,978
5,978
6,978
7,960
8,960
9,960
10,960
11,1049
12,1049
13,1049
14,1049
15,1049
16,1049
17,1049
18,1049
19,1049
20,1049
21,974
22,974
23,974
24,974
25,974
26,974
27,974
28,974
29,974
30,974
31,962
32,962
33,962
34,962
35,962
36,962
37,962
38,0
39,1006
40,1006
41,1006
42,1006
43,1006
44,0
45,1006
46,1006
47,1006
48,1006
49,1006
50,1006
51,1006
52,1006
53,1006
54,994
55,994
56,994
57,0
58,994
59,976
60,976
61,976
62,976
63,1038
64,0
65,1049
66,1049
67,1049
68,1049
69,1049
70,1049
71,1049
72,1049
73,1049
74,1049
75,1049
76,1049
77,1049
78,1049
79,1049
80,1049
81,1010
82,1010
83,1010
84,1010
85,1010
86,1010
87,1010
88,1010
89,1010
90,1010
91,1010
92,1049
93,1049
94,1049
95,1049
96,1049
97,1049
98,1049
99,1049
100,1049
101,1049
102,1049
103,1049
104,1049
105,1049
106,1049
107,1049
108,1049
109,1070
110,1070
111,1070
112,978
113,978
114,978
115,990
116,990
117,990
118,990
119,990
120,990
121,990
122,990
123,990
124,1038
125,1038
126,1038
127,1038
128,1038
129,1038
130,1038
131,1038
132,1038
133,976
134,994
135,994
136,994
137,994
138,994
139,1006
140,1006
141,1006
142,1006
143,1006
144,1006
145,1006
146,1006
147,1006
148,1006
149,1006
150,1006
151,1006
152,1054
153,1054
154,962
155,962
156,962
157,974
158,974
159,974
160,974
161,974
162,974
163,974
164,974
165,974
166,974
167,974
168,974
169,974
170,974
171,1049
172,1049
173,1049
174,1049
175,1049
176,1049
177,1049
178,1049
179,1049
180,1049
181,1049
182,1049
183,1049
184,1049
185,1049
186,1049
187,1049
188,1049
189,1049
190,1049
191,1049
192,1049
193,1049
194,1049
195,1049
196,1049
197,1049
198,1049
199,1049
200,1049
201,1049
202,1049
203,960
204,960
205,960
206,960
207,978
208,960
209,960
210,960
211,960
212,960
213,960
214,960
215,960
216,960
217,960
218,960
219,960
220,960
221,960
222,960
223,960
224,960
225,960
226,960
227,960
228,960
229,960
230,960
231,960
232,960
233,960
234,978
235,978
236,978
237,978
238,978
239,978
240,978
241,978
242,978
243,978
244,978
245,978
246,978
247,978
248,978
249,978
250,990
251,990
252,990
253,990
254,990
255,990
256,990
257,990
258,990
259,990
260,990
261,990
262,990
263,990
264,990
265,990
266,990
267,990
268,990
269,990
270,990
271,990
272,990
273,990
274,990
275,990
276,990
277,990
278,990
279,990
280,990
281,990
282,990
283,990
284,990
285,990
286,990
287,990
288,990
289,990
290,990
291,990
292,990
293,990
294,990
295,990
296,990
297,990
298,990
299,990
300,990
301,990
302,990
303,990
304,990
305,990
306,990
307,990
308,990
309,990
310,990
311,990
312,990
313,990
314,990
315,990
316,990
317,990
318,990
319,990
320,990
321,990
322,990
323,990
324,990
325,990
326,990
327,990
328,990
329,990
330,990
331,990
332,990
333,990
334,990
335,990
336,990
337,990
338,990
339,990
340,990
341,990
342,990
343,990
344,990
345,990
346,990
347,990
348,990
349,990
350,990
351,990
352,990
353,990
354,990
355,990
356,990
357,928
358,928
359,928
360,928
361,946
362,946
363,946
364,946
365,946
366,946
367,946
368,946
369,946
370,946
371,946
372,946
373,946
374,946
375,946
376,946
377,946
378,946
379,946
380,946
381,946
382,946
383,946
384,946
385,946
386,946
387,946
388,946
389,946
390,946
391,946
392,946
393,946
394,946
395,946
396,946
397,946
398,946
399,946
400,946
401,946
402,946
403,946
404,946
405,946
406,946
407,946
408,946
409,946
410,946
411,946
412,946
413,946
414,946
415,946
416,946
417,946
