clock,value
147,718
148,718
149,718
150,718
151,718
152,718
153,718
154,718
155,718
156,718
157,718
158,718
159,718
160,718
161,718
162,718
163,718
164,718
165,718
166,718
167,718
168,718
169,718
170,718
171,718
172,718
173,718
174,718
175,718
176,718
177,718
178,718
179,718
180,718
181,718
182,718
183,718
184,718
185,718
186,718
187,718
188,718
189,718
190,718
191,718
192,718
193,718
194,718
195,718
196,754
197,754
198,718
199,718
200,754
201,718
202,754
203,754
204,754
205,754
206,754
207,718
208,754
209,754
210,754
211,754
212,754
213,754
214,754
215,793
216,754
217,793
218,793
219,793
220,793
221,793
222,793
223,793
224,793
225,793
226,793
227,793
228,793
229,793
230,793
231,793
232,793
233,793
234,793
235,793
236,793
237,793
238,793
239,793
240,793
241,793
242,793
243,793
244,793
245,793
246,793
247,793
248,793
249,793
250,793
251,793
252,793
253,793
254,793
255,793
256,793
257,793
258,793
259,793
260,793
261,793
262,793
263,793
264,793
265,793
266,793
267,793
268,793
269,793
270,793
271,793
272,793
273,793
274,793
275,793
276,793
277,793
278,793
279,793
280,793
281,793
282,793
283,793
284,793
285,793
286,793
287,793
288,793
289,793
290,793
291,793
292,793
293,793
294,793
295,793
296,793
297,793
298,793
299,793
300,793
301,793
302,793
303,793
304,793
305,793
306,793
307,793
308,793
309,793
310,793
311,793
312,793
313,793
314,793
315,793
316,793
317,793
318,793
319,793
320,793
321,793
322,793
323,793
324,793
325,793
326,793
327,793
328,793
329,793
330,793
331,793
332,793
333,793
334,793
335,793
336,793
337,793
338,793
339,793
340,793
341,793
342,793
343,793
344,793
345,793
346,793
347,793
348,793
349,793
350,793
351,793
352,793
353,793
354,793
355,793
356,793
357,793
358,793
359,793
360,793
361,793
362,793
363,793
364,793
365,793
366,793
367,793
368,793
369,793
370,793
371,793
372,793
373,793
374,793
375,793
376,793
377,793
378,793
379,793
380,793
381,793
382,793
383,793
384,793
385,793
386,793
387,793
388,793
389,793
390,793
391,793
392,793
393,793
394,793
395,793
396,793
397,793
398,793
399,793
400,793
401,793
402,793
403,793
404,793
405,793
406,793
407,793
408,793
409,793
410,793
411,793
412,793
413,793
414,793
415,793
416,793
417,793
418,793
419,793
420,793
421,793
422,793
423,793
424,793
425,793
426,793
427,793
428,793
429,793
430,793
431,793
432,793
433,793
434,793
435,793
436,793
437,793
438,793
439,793
440,793
441,793
442,793
443,793
444,793
445,793
446,793
447,793
448,793
449,793
450,793
451,793
452,793
453,793
454,793
455,793
456,793
457,793
458,793
459,793
460,793
461,793
462,793
463,793
464,793
465,793
466,793
467,793
468,793
469,793
470,793
471,793
472,793
473,793
474,793
475,793
476,793
477,793
478,793
479,793
480,793
481,793
482,793
483,793
484,793
485,793
486,793
487,793
488,793
489,793
490,793
491,793
492,793
493,793
494,793
495,793
496,793
497,793
498,793
499,793
500,793
501,793
502,793
503,793
504,793
505,793
506,793
507,793
508,793
509,793
510,793
511,793
512,793
513,793
514,793
515,793
516,793
517,793
518,793
519,793
520,793
521,793
522,793
523,793
524,793
525,793
526,793
527,793
528,793
529,793
530,793
531,793
532,793
533,793
534,793
535,793
536,793
537,793
538,793
539,793
540,793
541,793
542,793
543,793
544,793
545,793
546,793
547,793
548,793
549,793
550,793
551,793
552,793
553,793
554,793
555,793
556,793
557,793
558,793
559,793
560,793
561,793
562,793
563,793
564,793
565,793
566,793
567,793
568,793
569,793
570,793
571,793
572,793
573,793
574,793
575,793
576,793
577,793
578,793
579,793
580,793
581,793
582,793
583,793
584,793
585,793
586,793
587,793
588,793
589,793
590,793
591,793
592,793
593,793
594,793
595,793
596,793
597,793
598,793
599,793
600,793
601,793
602,793
603,793
604,793
605,793
606,793
607,793
608,793
609,793
610,793
611,793
612,793
613,793
614,793
615,793
616,793
617,793
618,793
619,793
620,793
621,793
622,793
623,793
624,793
625,793
626,793
627,793
628,793
629,793
630,793
631,793
632,793
633,793
634,793
635,793
636,793
637,793
638,793
639,793
640,793
641,793
642,793
643,793
644,793
645,793
646,793
647,793
648,793
649,793
650,793
651,793
652,793
653,793
654,793
655,793
656,793
657,793
658,793
659,793
660,793
661,793
662,793
663,793
664,793
665,793
666,793
667,793
668,793
669,793
670,793
671,793
672,793
673,793
674,793
675,793
676,793
677,793
678,793
679,793
680,793
681,793
682,793
683,793
684,793
685,793
686,793
687,793
688,793
689,793
690,793
691,793
692,793
693,793
694,793
695,793
696,793
697,793
698,793
699,793
700,793
701,793
702,793
703,793
704,793
705,793
706,793
707,793
708,793
709,793
710,793
711,793
712,793
713,793
714,793
715,793
716,793
717,793
718,793
719,793
720,793
721,793
722,793
723,793
724,793
725,793
726,793
727,793
728,793
729,793
730,793
731,793
732,793
733,793
734,793
735,793
736,793
737,793
738,793
739,793
740,793
741,793
742,793
743,793
744,793
745,793
746,793
747,793
748,793
749,793
750,793
751,793
752,793
753,793
754,704
755,704
756,704
757,704
758,704
759,704
