clock,value
1,0
2,857
3,857
4,857
5,857
6,857
7,857
8,857
9,857
10,857
11,857
12,857
13,857
14,857
15,857
16,857
17,857
18,857
19,818
20,818
21,818
22,818
23,818
24,818
25,818
26,818
27,818
28,818
29,857
30,857
31,857
32,857
33,857
34,857
35,0
36,857
37,857
38,857
39,857
40,857
41,0
42,857
43,857
44,857
45,857
46,857
47,857
48,857
49,857
50,857
51,857
52,857
53,0
54,857
55,857
56,857
57,857
58,857
59,857
60,0
61,0
62,894
63,894
64,894
65,894
66,894
67,894
68,894
69,894
70,894
71,894
72,894
73,894
74,894
75,894
76,894
77,894
78,894
79,894
80,894
81,894
82,894
83,894
84,850
85,850
86,862
87,862
88,862
89,910
90,857
91,857
92,857
93,857
94,857
95,857
96,848
97,866
98,866
99,848
100,848
101,848
102,848
103,848
104,848
105,848
106,866
107,866
108,878
109,878
110,878
111,878
112,878
113,878
114,878
115,878
116,878
117,878
118,878
119,816
120,816
121,834
122,834
123,834
124,846
125,846
126,846
127,846
128,846
129,846
130,846
131,846
132,846
133,846
134,846
135,846
136,894
137,894
138,832
139,832
140,832
141,814
142,814
143,814
144,814
145,814
146,814
147,814
148,814
149,814
150,814
151,814
152,814
153,814
154,814
155,814
156,832
157,832
158,832
159,814
160,814
161,814
162,814
163,814
164,814
165,814
166,814
167,814
168,814
169,814
170,814
171,814
172,862
173,862
174,862
175,862
176,862
177,862
178,862
179,862
180,862
181,862
182,862
183,862
184,862
185,862
186,862
187,862
188,862
189,862
190,850
191,832
192,832
193,846
194,878
195,862
196,910
197,942
198,974
199,1246
200,1419
201,1419
202,1455
203,1653
204,2085
205,2517
206,1707
207,1689
208,1635
209,2589
210,1707
211,1689
212,1635
213,2409
214,2355
215,2355
216,2085
217,1743
218,1545
219,1389
220,1389
221,1401
222,960
223,926
224,857
225,862
226,857
227,862
228,857
229,798
230,798
231,798
232,798
233,846
234,784
235,814
236,814
237,814
238,800
239,857
240,768
241,786
242,798
243,798
244,754
245,766
246,814
247,752
248,782
249,720
250,750
251,750
252,736
253,754
254,754
255,736
256,736
257,736
258,798
259,798
260,798
261,736
262,736
263,736
264,736
265,736
266,754
267,754
268,754
269,754
270,766
271,766
272,766
273,766
274,766
275,754
276,736
277,736
278,736
279,736
280,798
281,798
282,750
283,750
284,738
285,782
286,782
287,782
288,752
289,752
290,752
291,814
292,766
293,766
294,766
295,736
296,798
297,798
298,798
299,786
300,768
301,857
302,857
303,782
304,782
305,782
306,782
307,770
308,770
309,814
310,814
311,814
312,814
313,814
314,814
315,814
316,814
317,814
318,814
319,766
320,766
321,766
322,766
323,766
324,784
325,846
326,846
327,798
328,798
329,798
330,798
331,798
332,798
333,798
334,798
335,798
336,798
337,798
338,798
339,798
340,798
341,798
342,786
343,786
344,786
345,786
346,786
347,786
348,786
349,786
350,786
351,786
352,786
353,798
354,798
355,798
356,798
357,798
358,798
359,798
360,798
361,798
362,786
363,857
364,857
365,862
366,814
367,878
368,894
369,894
370,946
371,1010
372,1166
373,1419
374,1425
375,1473
376,1623
377,1905
378,1995
379,2193
380,2337
381,2400
382,1743
383,2463
384,2499
385,2148
386,2031
387,1815
388,1437
389,1509
390,1407
391,1437
392,1170
393,1038
394,914
395,910
396,894
397,857
398,850
399,857
400,798
401,846
402,784
403,802
404,814
405,770
406,862
407,814
408,814
409,814
410,814
411,814
412,784
413,784
414,846
415,798
416,798
417,786
418,857
419,802
420,862
421,942
422,942
423,1102
424,1369
425,1389
426,1419
427,1527
428,1653
429,1833
430,2229
431,2885
432,2247
433,1995
434,1941
435,1896
436,1707
437,1626
438,1437
439,1389
440,1389
441,1214
442,1038
443,958
444,958
445,878
446,857
447,857
448,857
449,846
450,846
451,834
452,846
453,846
454,784
455,802
456,802
457,784
458,802
459,814
460,814
461,814
462,814
463,814
464,814
465,814
466,814
467,814
468,814
469,814
470,814
471,814
472,752
473,752
474,752
475,752
476,752
477,770
478,770
479,770
480,770
481,782
482,782
483,782
484,782
485,782
486,782
487,782
488,782
489,782
490,782
491,782
492,782
493,782
494,782
495,782
496,782
497,857
498,857
499,738
500,738
501,738
502,738
503,738
504,738
505,738
506,738
507,738
508,738
509,738
510,738
511,738
512,738
513,738
514,738
515,738
516,738
517,738
518,857
519,857
520,857
521,857
522,782
523,782
524,782
525,782
526,782
527,782
528,782
529,782
530,782
531,782
532,782
533,782
534,782
535,782
536,782
537,782
538,782
539,782
540,782
541,782
542,782
543,782
544,782
545,782
546,782
547,782
548,782
549,782
550,782
551,782
552,782
553,782
554,782
555,782
556,857
557,738
558,857
559,782
560,782
561,782
562,782
563,782
564,782
565,782
566,814
567,814
568,846
569,857
570,846
571,832
572,914
573,958
574,1122
575,1294
576,1401
577,1437
578,1527
579,1581
580,1743
581,1833
582,1995
583,1977
584,1896
585,1761
586,1779
587,1725
588,1626
589,1437
590,1389
591,1389
592,1170
593,1054
594,942
595,832
596,800
597,798
598,814
599,857
600,798
601,816
602,798
603,816
604,816
605,798
606,798
607,816
608,857
609,857
610,857
611,800
612,802
613,857
614,878
615,942
616,962
617,1134
618,1401
619,1389
620,1437
621,1545
622,1437
623,1887
624,1887
625,1977
626,1491
627,2103
628,2067
629,2013
630,1887
631,1419
632,1725
633,1635
634,1443
635,1437
636,1374
637,1198
638,990
639,896
640,818
641,798
642,766
643,798
644,814
645,802
646,846
647,798
648,878
649,857
650,784
651,862
652,864
653,974
654,1054
655,1262
656,1401
657,1419
658,1587
659,1425
660,1419
661,1419
662,1419
663,1419
664,1419
665,1707
666,1707
667,1761
668,2049
669,2103
670,1977
671,1419
672,1617
673,1509
674,1389
675,1419
676,1214
677,1113
678,928
679,942
680,910
681,857
682,784
683,862
684,857
685,878
686,816
687,834
688,834
689,846
690,784
691,802
692,802
693,814
694,814
695,814
696,814
697,814
698,814
699,814
700,814
701,814
702,814
703,814
704,814
705,814
706,814
707,814
708,814
709,814
710,814
711,814
712,814
713,814
714,814
715,814
716,814
717,814
718,814
719,814
720,814
721,814
722,814
723,814
724,814
725,814
726,814
727,802
728,802
729,802
730,802
731,784
732,784
733,784
734,784
735,784
736,784
737,784
738,784
739,784
