clock,value
769,857
770,857
771,857
772,857
773,857
774,857
775,857
776,857
777,857
778,857
779,857
780,857
781,857
782,857
783,857
784,857
785,857
786,857
787,857
788,857
789,857
790,857
791,857
792,818
793,818
794,818
795,818
796,818
797,818
798,818
799,818
800,800
801,800
802,800
803,800
804,800
805,800
806,800
807,800
808,800
809,800
810,800
811,862
812,862
813,862
814,862
815,862
816,862
817,862
818,862
819,862
820,862
821,862
822,862
823,862
824,862
825,862
826,862
827,862
828,862
829,862
830,862
831,862
832,862
833,862
834,862
835,862
836,862
837,862
838,862
839,862
840,862
841,814
842,814
843,814
844,814
845,814
846,814
847,814
848,814
849,814
850,814
851,814
852,814
853,814
854,814
855,814
856,814
857,814
858,814
859,814
860,814
861,862
862,862
863,862
864,862
865,862
866,862
867,862
868,862
869,862
870,862
871,862
872,862
873,862
874,862
875,862
876,862
877,862
878,862
879,862
880,862
881,862
882,862
883,862
884,862
885,814
886,814
887,814
888,814
889,814
890,814
891,814
892,814
893,814
894,814
895,814
896,814
897,814
898,814
899,814
900,814
901,814
902,814
903,814
904,0
905,814
906,814
907,814
908,802
909,846
910,0
911,798
912,857
913,862
914,894
915,878
916,942
917,910
918,1006
919,926
920,1113
921,1070
922,0
923,1214
924,1401
925,1437
926,1401
927,1401
928,0
929,0
930,1054
931,1134
932,1326
933,1401
934,1401
935,1437
936,1419
937,1419
938,1419
939,1419
940,1419
941,1419
942,1797
943,1929
944,1419
945,1419
946,1797
947,1635
948,1617
949,1671
950,1653
951,1626
952,1626
953,1743
954,1653
955,1626
956,2031
957,2085
958,1725
959,1761
960,1743
961,1617
962,1437
963,1473
964,1419
965,1419
966,1401
967,1389
968,1419
969,1150
970,1118
971,1038
972,990
973,942
974,878
975,857
976,814
977,857
978,862
979,798
980,818
981,857
982,818
983,814
984,878
985,850
986,958
987,882
988,974
989,1054
990,1038
991,1102
992,1150
993,1310
994,1401
995,1407
996,1407
997,1401
998,1419
999,1419
1000,1419
1001,1419
1002,1419
1003,1833
1004,1797
1005,1887
1006,1878
1007,1545
1008,1959
1009,1815
1010,2103
1011,2400
1012,1761
1013,2283
1014,1887
1015,1653
1016,1725
1017,1977
1018,2049
1019,1941
1020,1833
1021,1797
1022,1779
1023,1707
1024,1581
1025,1401
1026,1509
1027,1437
1028,1419
1029,1401
1030,1371
1031,1262
1032,1150
1033,1070
1034,1022
1035,990
1036,910
1037,974
1038,910
1039,926
1040,878
1041,910
1042,832
1043,800
1044,857
1045,846
1046,814
1047,857
1048,857
1049,818
1050,862
1051,862
1052,862
1053,862
1054,862
1055,814
1056,814
1057,814
1058,814
1059,814
1060,814
1061,814
1062,814
1063,862
1064,800
1065,800
1066,800
1067,800
1068,818
1069,818
1070,818
1071,818
1072,818
1073,857
1074,857
1075,857
1076,857
1077,857
1078,857
1079,857
1080,857
1081,857
1082,857
1083,857
1084,857
1085,857
1086,857
1087,857
1088,857
1089,857
1090,857
1091,857
1092,857
1093,857
1094,857
1095,857
1096,857
1097,857
1098,857
1099,857
1100,857
1101,857
1102,857
1103,857
1104,857
1105,857
1106,857
1107,878
1108,878
1109,878
1110,878
1111,878
1112,816
1113,816
1114,816
1115,798
1116,798
1117,798
1118,798
1119,798
1120,798
1121,798
1122,798
1123,846
1124,846
1125,846
1126,846
1127,846
1128,846
1129,846
1130,846
1131,846
1132,846
1133,846
1134,846
1135,846
1136,846
1137,846
1138,846
1139,846
1140,846
1141,846
1142,846
1143,846
1144,846
1145,846
1146,846
1147,846
1148,846
1149,846
1150,846
1151,846
1152,846
1153,846
1154,846
1155,846
1156,846
1157,846
1158,846
1159,846
1160,846
1161,846
1162,846
1163,846
1164,846
1165,846
1166,846
1167,846
1168,846
1169,846
1170,846
1171,846
1172,846
1173,846
1174,846
1175,846
1176,846
1177,846
1178,846
1179,846
1180,846
1181,846
1182,846
1183,846
1184,846
1185,846
1186,846
1187,846
1188,846
1189,846
1190,846
1191,846
1192,846
1193,846
1194,846
1195,846
1196,846
1197,846
1198,846
1199,846
1200,846
1201,846
1202,846
1203,846
1204,846
1205,846
1206,846
1207,846
1208,846
1209,846
1210,846
1211,846
1212,846
1213,846
1214,846
1215,846
1216,846
1217,846
1218,846
1219,846
1220,846
1221,846
1222,846
1223,846
1224,846
1225,846
1226,846
1227,846
1228,846
1229,846
1230,846
1231,846
1232,846
1233,846
1234,846
1235,846
1236,846
1237,846
1238,846
1239,846
1240,846
1241,846
1242,846
1243,846
1244,846
1245,846
1246,846
1247,846
1248,846
1249,846
1250,846
1251,846
1252,846
1253,846
1254,846
1255,846
1256,846
1257,846
1258,846
1259,846
1260,846
1261,846
1262,846
1263,846
1264,846
1265,846
1266,846
1267,846
1268,846
1269,846
1270,846
1271,846
1272,846
1273,846
1274,846
1275,846
1276,846
1277,846
1278,846
1279,846
1280,846
1281,798
1282,798
1283,798
1284,798
1285,798
1286,798
1287,798
1288,798
1289,798
1290,798
1291,798
1292,798
1293,798
1294,798
1295,798
1296,798
1297,798
1298,798
1299,798
1300,798
1301,798
1302,798
1303,798
1304,798
1305,798
1306,798
1307,798
1308,798
1309,798
1310,798
1311,798
1312,798
1313,798
1314,798
1315,798
1316,798
1317,798
1318,798
1319,798
1320,798
1321,798
1322,798
1323,798
1324,798
1325,798
1326,798
1327,798
1328,798
1329,798
1330,798
1331,798
1332,798
1333,798
1334,798
1335,798
1336,798
1337,798
1338,798
1339,798
1340,798
1341,846
1342,846
1343,846
1344,846
1345,846
1346,846
1347,846
1348,846
1349,846
1350,846
1351,846
1352,846
1353,846
1354,846
1355,846
1356,846
1357,784
1358,784
1359,784
1360,784
1361,802
1362,802
1363,802
1364,814
1365,814
1366,814
1367,814
1368,802
1369,802
1370,846
1371,846
1372,816
1373,857
1374,862
1375,814
1376,846
1377,857
1378,862
1379,878
1380,912
1381,942
1382,974
1383,1006
1384,1022
1385,1198
1386,1310
1387,1389
1388,1389
1389,1419
1390,1401
1391,1419
1392,1419
1393,1689
1394,1419
1395,1419
1396,1689
1397,1833
1398,1419
1399,1419
1400,1419
1401,1419
1402,1419
1403,1419
1404,2085
1405,1473
1406,1419
1407,1815
1408,1761
1409,1671
1410,1635
1411,1725
1412,1473
1413,1419
1414,1419
1415,1419
1416,1419
1417,1419
1418,1389
1419,1419
1420,1389
1421,1278
1422,1150
1423,1010
1424,994
1425,942
1426,878
1427,878
1428,894
1429,857
1430,846
1431,862
1432,814
1433,798
1434,786
1435,798
1436,816
1437,857
1438,850
1439,816
1440,862
1441,914
1442,926
1443,974
1444,974
1445,1038
1446,1090
1447,1182
1448,1401
1449,1407
1450,1401
1451,1389
1452,1419
1453,1419
1454,1617
1455,1419
1456,1725
1457,1419
1458,1815
1459,1839
1460,1887
1461,1527
1462,1959
1463,1635
1464,1563
1465,1491
1466,1491
1467,1545
1468,1545
1469,1923
1470,1896
1471,1821
1472,1785
1473,1761
1474,1626
1475,1617
1476,1545
1477,1419
1478,1419
1479,1419
1480,1419
1481,1401
1482,1218
1483,1118
1484,1113
1485,958
1486,910
1487,894
1488,846
1489,862
1490,846
1491,800
1492,857
1493,814
1494,798
1495,846
1496,802
1497,894
1498,846
1499,878
1500,818
1501,814
1502,816
1503,862
1504,958
1505,896
1506,958
1507,1070
1508,1113
1509,1214
1510,1326
1511,1401
1512,1401
1513,1401
1514,1437
1515,1419
1516,1419
1517,1419
1518,1617
1519,1689
1520,1761
1521,1725
1522,1689
1523,1491
1524,1419
1525,2049
1526,1635
1527,1563
