date	accel	sonar
0	270	
0	270	5400
1	258	
2	258	
3	256	
4	267	
4	267	5366
5	314	
6	327	
7	312	
7	312	5394
8	261	
9	236	
10	222	
11	230	
11	230	5394
12	203	
13	169	
14	179	
15	153	
15	153	5352
16	102	
17	225	
18	425	
19	1091	
19	1091	5380
20	2094	
21	2848	
22	4892	
22	4892	5400
23	6669	
24	7179	
25	7516	
26	7708	
26	7708	5730
27	8371	
28	9107	
29	9286	
30	8803	
30	8803	6474
31	6272	
32	2955	
33	1828	
33	1828	7358
34	987	
35	456	
36	-170	
37	-2311	
37	-2311	8412
38	-4131	
39	-4638	
40	-4756	
41	-4705	
41	-4705	9372
42	-5058	
43	-5941	
44	-6521	
45	-7215	
45	-7215	9478
46	-6929	
47	-6119	
48	-5493	
48	-5493	9428
49	-4090	
50	-2345	
51	-1432	
52	-67	
52	-67	9330
53	342	
54	948	
55	1546	
56	1912	
56	1912	9064
57	2654	
58	2910	
59	2837	
60	2525	
60	2525	9584
61	2209	
62	2094	
63	1764	
64	1354	
64	1354	9864
65	875	
66	671	
67	456	
67	456	9702
68	412	
69	320	
70	73	
71	-71	
71	-71	9836
72	-295	
73	-379	
74	-363	
75	-216	
75	-216	10102
76	-37	
77	199	
78	280	
79	468	
79	468	9850
80	534	
81	571	
82	607	
82	607	10152
83	646	
84	584	
85	470	
86	521	
86	521	10144
87	587	
88	751	
89	804	
90	752	
90	752	9892
91	478	
92	298	
93	297	
94	441	
94	441	9990
95	522	
96	560	
97	494	
98	427	
98	427	10138
99	295	
100	227	
101	231	
101	231	10228
102	301	
103	386	
104	475	
105	511	
105	511	10180
106	577	
107	590	
108	635	
109	739	
109	739	10158
110	808	
111	940	
112	972	
113	910	
113	910	9942
114	690	
115	489	
116	429	
117	410	
117	410	9646
118	424	
119	342	
120	299	
121	286	
121	286	9682
122	326	
123	369	
124	300	
124	300	9598
125	272	
126	332	
127	506	
128	543	
128	543	9696
129	525	
130	520	
131	530	
132	559	
132	559	10334
133	546	
134	404	
135	195	
136	78	
136	78	9892
137	100	
138	237	
139	313	
139	313	10242
140	279	
141	120	
142	68	
143	79	
143	79	10214
144	192	
145	269	
146	405	
147	377	
147	377	9914
148	329	
149	302	
150	354	
151	500	
151	500	10186
152	565	
153	592	
154	696	
155	685	
155	685	10152
156	639	
157	530	
158	472	
158	472	9758
159	412	
160	535	
161	589	
162	597	
162	597	10166
163	484	
164	422	
165	415	
166	604	
166	604	9984
167	619	
168	462	
169	181	
170	119	
170	119	9724
171	48	
172	39	
173	148	
174	437	
174	437	9696
175	601	
176	847	
177	875	
177	875	10328
178	621	
179	494	
180	311	
181	161	
181	161	10292
182	143	
183	80	
184	100	
185	130	
185	130	10214
186	173	
187	157	
188	119	
189	204	
189	204	9990
190	231	
191	122	
192	-119	
193	-370	
193	-370	9914
194	-438	
195	-517	
196	-930	
196	-930	9870
197	-1587	
198	-3795	
199	-6446	
200	-7618	
200	-7618	9884
201	-9144	
202	-9436	
203	-9732	
204	-9825	
204	-9825	9674
205	-9626	
206	-8361	
207	-6244	
208	-4410	
208	-4410	8762
209	-3645	
210	-1915	
211	134	
211	134	7702
212	1038	
213	2318	
214	2756	
215	3437	
215	3437	6586
216	4445	
217	5241	
218	5244	
219	4933	
219	4933	5758
220	5133	
221	5323	
222	5486	
222	5486	4966
223	5091	
224	4716	
225	4067	
226	3603	
226	3603	4826
227	3343	
228	2680	
229	2266	
229	2266	4468
230	1489	
231	997	
232	1203	
233	1537	
233	1537	4370
234	2039	
235	1975	
236	1800	
237	1427	
237	1427	4314
238	1154	
239	1105	
240	936	
240	936	4180
241	797	
242	586	
243	428	
244	398	
244	398	4130
245	549	
246	829	
247	1023	
248	1089	
248	1089	4116
249	1054	
250	963	
251	1046	
251	1046	4082
252	1024	
253	704	
254	509	
255	232	
255	232	4088
256	266	
257	502	
258	683	
259	712	
259	712	4088
260	578	
261	417	
262	524	
262	524	4088
263	625	
264	680	
265	678	
266	680	
266	680	4124
267	638	
268	557	
269	312	
269	312	4208
270	73	
271	-30	
272	-80	
273	-52	
273	-52	4222
274	-22	
275	61	
276	99	
277	76	
277	76	4284
278	32	
279	-76	
280	-128	
280	-128	4342
281	-137	
282	-116	
283	-103	
284	-60	
284	-60	4342
285	-29	
286	-22	
287	-63	
288	-168	
288	-168	4426
289	-202	
290	-201	
291	-206	
291	-206	4432
292	-143	
293	-55	
294	134	
295	211	
295	211	4426
296	242	
297	140	
298	111	
298	111	4482
299	181	
300	263	
301	263	
302	124	
302	124	4468
303	-29	
304	72	
305	211	
306	442	
306	442	4488
307	463	
308	384	
309	193	
309	193	4516
310	162	
311	256	
312	396	
313	414	
313	414	4530
314	285	
315	66	
316	-10	
316	-10	4608
317	-33	
318	59	
319	81	
320	84	
320	84	4656
321	56	
322	34	
323	-13	
324	-6	
324	-6	4628
325	30	
326	97	
327	92	
327	92	4642
328	60	
329	-28	
330	-82	
331	-110	
331	-110	4684
332	-158	
333	-175	
334	-64	
334	-64	4650
335	-10	
336	75	
337	106	
338	140	
338	140	4684
339	160	
340	169	
341	161	
341	161	4692
342	161	
343	175	
344	204	
345	226	
345	226	4684
346	224	
347	233	
348	196	
349	165	
349	165	4678
350	113	
351	131	
352	171	
352	171	4642
353	289	
354	387	
355	391	
356	338	
356	338	4636
357	240	
358	208	
359	221	
359	221	4628
360	254	
361	361	
362	363	
363	309	
363	309	4636
364	278	
365	189	
366	134	
367	124	
367	124	4678
368	138	
369	127	
370	107	
370	107	4650
371	28	
372	-16	
373	-17	
374	110	
374	110	4684
375	315	
376	1459	
377	1969	
377	1969	4706
378	3137	
379	3853	
380	5548	
381	7753	
381	7753	4798
382	8903	
383	10407	
384	10853	
384	10853	5310
385	10914	
386	10457	
387	9507	
388	8736	
388	8736	6264
389	6593	
390	5591	
