date	accel	sonar
0	-112	
0	-112	7042
1	-124	
2	-130	
3	-126	
4	-122	
4	-122	7036
5	-147	
6	-165	
7	-169	
8	-156	
8	-156	7036
9	-140	
10	-120	
11	-118	
11	-118	7042
12	-121	
13	-132	
14	-133	
15	-132	
15	-132	7028
16	-128	
17	-131	
18	-144	
19	-171	
19	-171	7036
20	-171	
21	-165	
22	-152	
23	-163	
23	-163	7070
24	-165	
25	-174	
26	-172	
26	-172	7036
27	-161	
28	-156	
29	-143	
30	-140	
30	-140	7028
31	-138	
32	-135	
33	-132	
34	-139	
34	-139	7036
35	-147	
36	-160	
37	-172	
37	-172	7028
38	-182	
39	-190	
40	-190	
41	-165	
41	-165	7036
42	-149	
43	-122	
44	-123	
45	-132	
45	-132	7064
46	-144	
47	-143	
48	-123	
48	-123	7070
49	-110	
50	-106	
51	-124	
52	-163	
52	-163	7070
53	-179	
54	-177	
55	-165	
56	-163	
56	-163	7028
57	-173	
58	-167	
59	-134	
59	-134	7028
60	-123	
61	-126	
62	-135	
63	-156	
63	-156	7064
64	-164	
65	-156	
66	-151	
67	-151	
67	-151	7064
68	-154	
69	-147	
70	-131	
70	-131	7022
71	-111	
72	-109	
73	-124	
74	-126	
74	-126	7056
75	-118	
76	-92	
77	-87	
78	-108	
78	-108	7014
79	-152	
80	-187	
81	-186	
82	-191	
82	-191	7008
83	-187	
84	-191	
85	-194	
85	-194	7000
86	-189	
87	-192	
88	-195	
89	-188	
89	-188	6952
90	-181	
91	-163	
92	-134	
93	-125	
93	-125	6952
94	-119	
95	-114	
96	-117	
96	-117	6938
97	-121	
98	-120	
99	-114	
100	-86	
100	-86	6896
101	-64	
102	-62	
103	-78	
104	-85	
104	-85	6924
105	-96	
106	-114	
107	-105	
107	-105	6966
108	-89	
109	-54	
110	-42	
111	-44	
111	-44	6930
112	-61	
113	-79	
114	-88	
115	-84	
115	-84	6958
116	-95	
117	-106	
118	-112	
118	-112	6952
119	-107	
120	-101	
121	-99	
122	-110	
122	-110	6944
123	-120	
124	-120	
125	-101	
126	-88	
126	-88	6944
127	-77	
128	-78	
129	-83	
129	-83	6944
130	-91	
131	-93	
132	-88	
133	-67	
133	-67	6938
134	-54	
135	-44	
136	-77	
137	-98	
137	-98	6924
138	-96	
139	-78	
140	-65	
140	-65	6924
141	-67	
142	-78	
143	-78	
144	-75	
144	-75	6916
145	-48	
146	-27	
147	-15	
148	-43	
148	-43	6958
149	-58	
150	-74	
151	-64	
151	-64	6868
152	-53	
153	-45	
154	-42	
155	-53	
155	-53	6860
156	-53	
157	-46	
158	-31	
159	-4	
159	-4	6910
160	-12	
161	-26	
162	-33	
162	-33	6860
163	-43	
164	-47	
165	-51	
166	-27	
166	-27	6902
167	0	
168	3	
169	-14	
170	-27	
170	-27	6896
171	-46	
172	-41	
173	-36	
173	-36	6854
174	-15	
175	-7	
176	-8	
177	-9	
177	-9	6854
178	-2	
179	3	
180	2	
181	4	
181	4	6902
182	0	
183	-5	
184	-34	
185	-32	
185	-32	6860
186	-34	
187	-36	
188	-34	
188	-34	6868
189	-32	
190	-32	
191	-32	
192	-35	
192	-35	6860
193	-56	
194	-73	
195	-73	
195	-73	6916
196	-68	
197	-67	
198	-46	
199	-45	
199	-45	6868
200	-51	
201	-72	
202	-65	
203	-52	
203	-52	6882
204	-48	
205	-79	
206	-98	
206	-98	6882
207	-107	
208	-97	
209	-77	
210	-84	
210	-84	6888
211	-106	
212	-118	
213	-135	
214	-137	
214	-137	6896
215	-135	
216	-136	
217	-148	
217	-148	6902
218	-151	
219	-128	
220	-107	
221	-97	
221	-97	6944
222	-106	
223	-137	
224	-145	
225	-137	
225	-137	6910
226	-121	
227	-116	
228	-132	
228	-132	6896
229	-118	
230	-114	
231	-92	
232	-84	
232	-84	6902
233	-98	
234	-134	
235	-141	
236	-149	
236	-149	6902
237	-130	
238	-111	
239	-109	
240	-116	
240	-116	6902
241	-126	
242	-126	
243	-118	
243	-118	6958
244	-119	
245	-126	
246	-151	
247	-144	
247	-144	6910
248	-139	
249	-137	
250	-143	
251	-157	
251	-157	6902
252	-164	
253	-159	
254	-155	
254	-155	6910
255	-138	
256	-140	
257	-153	
258	-167	
258	-167	6916
259	-161	
260	-158	
261	-148	
262	-133	
262	-133	6910
263	-142	
264	-156	
265	-157	
265	-157	6910
266	-141	
267	-126	
268	-129	
269	-136	
269	-136	6902
270	-126	
271	-99	
272	-86	
273	-91	
273	-91	6896
274	-109	
275	-112	
276	-109	
276	-109	6888
277	-104	
278	-88	
279	-91	
280	-101	
280	-101	6896
281	-111	
282	-108	
283	-90	
284	-91	
284	-91	6924
285	-96	
286	-89	
287	-79	
287	-79	6882
288	-77	
289	-75	
290	-84	
291	-95	
291	-95	6916
292	-103	
293	-111	
294	-104	
295	-73	
295	-73	6916
296	-60	
297	-63	
298	-94	
298	-94	6902
299	-100	
300	-92	
301	-78	
302	-79	
302	-79	6944
303	-90	
304	-93	
305	-78	
306	-65	
306	-65	6896
307	-56	
308	-55	
309	-67	
310	-85	
310	-85	6944
311	-97	
312	-119	
313	-112	
313	-112	6944
314	-102	
315	-71	
316	-59	
317	-64	
317	-64	6896
318	-85	
319	-99	
320	-103	
321	-82	
321	-82	6930
322	-75	
323	-66	
324	-67	
324	-67	6896
325	-89	
326	-101	
327	-103	
328	-94	
328	-94	6888
329	-94	
330	-111	
331	-120	
332	-114	
332	-114	6888
333	-76	
334	-51	
335	-28	
335	-28	6924
336	-43	
337	-57	
338	-68	
339	-78	
339	-78	6924
340	-85	
341	-92	
342	-78	
343	-58	
343	-58	6882
344	-52	
345	-73	
346	-90	
346	-90	6924
347	-101	
348	-76	
349	-69	
350	-54	
350	-54	6874
351	-34	
352	-28	
353	-28	
354	-23	
354	-23	6874
355	-22	
356	-22	
357	-43	
358	-60	
358	-60	6924
359	-71	
360	-69	
361	-65	
361	-65	6910
362	-67	
363	-56	
364	-43	
365	-30	
365	-30	6868
366	-38	
367	-50	
368	-59	
369	-56	
369	-56	6868
370	-37	
371	-37	
372	-32	
372	-32	6868
373	-36	
374	-44	
375	-72	
376	-88	
376	-88	6868
377	-115	
378	-104	
379	-93	
380	-69	
380	-69	6868
381	-59	
382	-56	
383	-53	
384	-54	
384	-54	6874
385	-52	
386	-46	
387	-52	
387	-52	6832
388	-56	
389	-70	
390	-78	
391	-79	
391	-79	6874
392	-70	
393	-65	
394	-67	
395	-65	
395	-65	6832
396	-62	
397	-56	
398	-59	
398	-59	6832
399	-51	
400	-41	
401	-30	
402	-43	
402	-43	6874
403	-43	
404	-37	
405	-33	
406	-36	
406	-36	6868
407	-42	
408	-56	
409	-67	
409	-67	6868
410	-68	
411	-68	
412	-66	
413	-61	
413	-61	6874
414	-44	
415	-36	
416	-24	
417	-38	
417	-38	6868
418	-49	
419	-87	
420	-105	
420	-105	6840
421	-100	
422	-83	
423	-59	
424	-50	
424	-50	6882
425	-50	
426	-84	
427	-108	
428	-145	
428	-145	6882
429	-132	
430	-116	
431	-74	
431	-74	6924
432	-65	
433	-76	
434	-90	
435	-85	
435	-85	6846
436	-82	
437	-85	
438	-92	
439	-91	
439	-91	6854
440	-90	
441	-91	
442	-91	
442	-91	6896
443	-84	
444	-68	
445	-63	
446	-59	
446	-59	6888
447	-83	
448	-99	
449	-109	
450	-112	
450	-112	6938
451	-125	
452	-131	
453	-130	
454	-123	
454	-123	6896
455	-92	
456	-67	
457	-63	
457	-63	6846
458	-87	
459	-123	
460	-127	
461	-100	
461	-100	6882
462	-67	
463	-69	
464	-79	
465	-92	
465	-92	6916
466	-108	
467	-109	
468	-100	
468	-100	6888
469	-93	
470	-81	
471	-71	
472	-71	
472	-71	6840
473	-82	
474	-81	
475	-74	
476	-59	
