date	accel	sonar
0	311	
0	311	6846
1	321	
2	346	
3	379	
4	386	
4	386	6812
5	385	
6	385	
7	388	
7	388	6846
8	390	
9	390	
10	384	
11	380	
11	380	6846
12	362	
13	351	
14	331	
15	326	
15	326	6846
16	329	
17	361	
18	383	
19	392	
19	392	6896
20	399	
21	364	
22	356	
22	356	6846
23	357	
24	360	
25	391	
26	393	
26	393	6804
27	396	
28	402	
29	403	
30	376	
30	376	6812
31	365	
32	366	
33	378	
33	378	6846
34	384	
35	393	
36	383	
37	368	
37	368	6846
38	350	
39	349	
40	363	
40	363	6812
41	375	
42	359	
43	346	
44	327	
44	327	6846
45	316	
46	310	
47	326	
48	353	
48	353	6854
49	356	
50	369	
51	372	
51	372	6846
52	369	
53	357	
54	351	
55	348	
55	348	6854
56	324	
57	316	
58	313	
59	333	
59	333	6854
60	362	
61	373	
62	373	
63	358	
63	358	6846
64	362	
65	382	
66	395	
66	395	6818
67	415	
68	396	
69	364	
70	302	
70	302	6854
71	253	
72	271	
73	303	
74	379	
74	379	6854
75	399	
76	376	
77	326	
77	326	6854
78	305	
79	321	
80	361	
81	389	
81	389	6854
82	396	
83	378	
84	360	
85	354	
85	354	6860
86	348	
87	351	
88	349	
88	349	6826
89	339	
90	302	
91	279	
92	267	
92	267	6860
93	273	
94	313	
95	383	
96	410	
96	410	6860
97	440	
98	424	
99	381	
99	381	6832
100	359	
101	327	
102	335	
103	334	
103	334	6860
104	350	
105	351	
106	353	
107	376	
107	376	6826
108	382	
109	373	
110	343	
110	343	6826
111	334	
112	327	
113	305	
114	305	
114	305	6840
115	319	
116	335	
117	327	
118	321	
118	321	6874
119	279	
120	278	
121	319	
121	319	6832
122	387	
123	400	
124	387	
125	342	
125	342	6840
126	315	
127	282	
128	304	
129	355	
129	355	6882
130	373	
131	389	
132	383	
132	383	6882
133	363	
134	354	
135	347	
136	343	
136	343	6882
137	332	
138	323	
139	298	
140	298	
140	298	6874
141	314	
142	352	
143	391	
143	391	6874
144	393	
145	376	
146	340	
147	313	
147	313	6882
148	276	
149	285	
150	301	
151	333	
151	333	6882
152	329	
153	310	
154	279	
154	279	6882
155	288	
156	357	
157	388	
158	419	
158	419	6840
159	413	
160	394	
161	351	
161	351	6846
162	343	
163	339	
164	372	
165	391	
165	391	6832
166	405	
167	390	
168	364	
169	341	
169	341	6840
170	318	
171	324	
172	323	
173	320	
173	320	6840
174	312	
175	321	
176	321	
176	321	6882
177	327	
178	335	
179	337	
180	345	
180	345	6888
181	363	
182	349	
183	338	
184	308	
184	308	6882
185	300	
186	329	
187	342	
187	342	6882
188	351	
189	348	
190	343	
191	340	
191	340	6882
192	336	
193	322	
194	334	
195	341	
195	341	6882
196	349	
197	345	
198	335	
198	335	6840
199	326	
200	330	
201	344	
202	399	
202	399	6846
203	428	
204	417	
205	363	
206	277	
206	277	6874
207	254	
208	269	
209	309	
209	309	6882
210	327	
211	351	
212	338	
213	317	
213	317	6874
214	293	
215	291	
216	309	
217	366	
217	366	6916
218	389	
219	381	
220	328	
220	328	6882
221	289	
222	288	
223	312	
224	341	
224	341	6882
225	352	
226	361	
227	340	
228	336	
228	336	6916
229	335	
230	332	
231	348	
231	348	6874
232	401	
233	430	
234	428	
235	386	
235	386	6916
236	361	
237	351	
238	336	
239	326	
239	326	6868
240	302	
241	303	
242	312	
242	312	6874
243	322	
244	373	
245	418	
246	427	
246	427	6882
247	420	
248	377	
249	350	
250	308	
250	308	6882
251	299	
252	299	
253	301	
254	307	
254	307	6882
255	306	
256	289	
257	281	
257	281	6888
258	286	
259	317	
260	366	
261	388	
261	388	6930
262	386	
263	344	
264	318	
265	296	
265	296	6930
266	306	
267	326	
268	340	
268	340	6938
269	347	
270	344	
271	307	
272	274	
272	274	6930
273	280	
274	305	
275	306	
276	300	
276	300	6888
277	293	
278	295	
279	306	
279	306	6924
280	319	
281	321	
282	328	
283	318	
283	318	6888
284	302	
285	301	
286	301	
287	300	
287	300	6874
288	301	
289	317	
290	333	
290	333	6874
291	347	
292	376	
293	390	
294	389	
294	389	6860
295	386	
296	377	
297	371	
298	377	
298	377	6860
299	398	
300	410	
301	422	
302	419	
302	419	6902
303	429	
304	421	
305	388	
305	388	6860
306	368	
307	338	
308	329	
309	325	
309	325	6854
310	346	
311	362	
312	383	
313	408	
313	408	6860
314	425	
315	414	
316	365	
316	365	6868
317	315	
318	297	
319	281	
320	280	
320	280	6868
321	284	
322	291	
323	292	
324	294	
324	294	6868
325	315	
326	337	
327	336	
327	336	6868
