date	accel	sonar
0	-304	
0	-304	11226
1	-379	
2	-416	
2	-416	11022
3	-402	
4	-394	
5	-477	
6	-531	
6	-531	11162
7	-652	
8	-690	
9	-705	
9	-705	10832
10	-665	
11	-641	
12	-599	
13	-485	
13	-485	10530
14	-426	
15	-449	
16	-518	
17	-503	
17	-503	10840
18	-461	
19	-385	
20	-363	
21	-330	
21	-330	10720
22	-251	
23	-203	
24	-106	
25	-92	
25	-92	10670
26	-181	
27	-229	
28	-268	
29	-248	
29	-248	10826
30	-240	
31	-261	
32	-343	
33	-376	
33	-376	10684
34	-376	
35	-356	
36	-346	
37	-438	
37	-438	10558
38	-470	
39	-444	
40	-402	
40	-402	10762
41	-401	
42	-380	
43	-288	
44	-204	
44	-204	10748
45	-185	
46	-211	
47	-240	
48	-242	
48	-242	10670
49	-204	
50	-201	
51	-208	
52	-138	
52	-138	11128
53	-5	
54	49	
55	97	
56	78	
56	78	11036
57	77	
58	94	
59	38	
60	-46	
60	-46	10538
61	-214	
62	-257	
63	-278	
64	-345	
64	-345	10888
65	-377	
66	-375	
67	-339	
67	-339	10742
68	-276	
69	-228	
70	-188	
71	-259	
71	-259	11106
72	-277	
73	-283	
74	-265	
75	-233	
75	-233	10924
76	-322	
77	-416	
78	-544	
79	-512	
79	-512	11000
80	-486	
81	-430	
82	-307	
83	-179	
83	-179	11008
84	-183	
85	-374	
86	-521	
87	-510	
87	-510	10958
88	-323	
89	-205	
90	-164	
91	-369	
91	-369	11042
92	-509	
93	-677	
94	-726	
94	-726	10902
95	-710	
96	-584	
97	-531	
98	-560	
98	-560	10882
99	-563	
100	-476	
101	-387	
102	-233	
102	-233	10994
103	-196	
104	-227	
105	-291	
106	-269	
106	-269	10888
107	-279	
108	-363	
109	-351	
110	-307	
110	-307	10888
111	-195	
112	-110	
113	-113	
114	-146	
114	-146	10874
115	-275	
116	-364	
117	-582	
117	-582	10840
118	-728	
119	-737	
120	-672	
121	-633	
121	-633	10896
122	-621	
123	-460	
124	-204	
125	-82	
125	-82	10846
126	25	
127	-112	
128	-257	
129	-574	
129	-574	10888
130	-731	
131	-739	
132	-677	
133	-533	
133	-533	10944
134	-439	
135	-308	
136	-280	
137	-309	
137	-309	10952
138	-382	
139	-484	
140	-620	
141	-643	
141	-643	10930
142	-590	
143	-541	
144	-540	
144	-540	11036
145	-766	
146	-879	
147	-950	
148	-859	
148	-859	10930
149	-784	
150	-699	
151	-579	
152	-507	
152	-507	10896
153	-386	
154	-387	
155	-535	
156	-723	
156	-723	10994
157	-752	
