date	accel	sonar
0	91	
0	91	9632
1	56	
1	56	9850
2	37	
3	67	
4	149	
5	183	
5	183	9900
6	219	
7	192	
8	15	
9	-102	
9	-102	9808
10	-222	
11	-183	
12	-132	
12	-132	9906
13	-21	
14	-48	
15	-91	
16	-140	
16	-140	9892
17	-48	
18	-31	
19	-77	
20	-115	
20	-115	9780
21	-18	
22	244	
23	319	
24	203	
24	203	9906
25	-245	
26	-537	
27	-554	
27	-554	9808
28	-396	
29	-173	
30	-131	
31	-234	
31	-234	9870
32	-322	
33	-398	
34	-233	
35	-27	
35	-27	9730
36	113	
37	306	
38	280	
39	257	
39	257	9814
40	356	
41	599	
42		9752
43	637	
44	549	
45	526	
46	389	
46	389	9856
47	300	
48	146	
49	45	
50	-110	
50	-110	9800
51	-221	
52	-361	
53	-388	
54	-377	
54	-377	9814
55	-416	
56	-330	
57	-317	
57	-317	9814
58	-483	
59	-724	
60	-874	
61	-1044	
61	-1044	9766
62	-854	
63	-701	
64	-298	
65	354	
65	354	9724
66	708	
67	1238	
68	1378	
69	1264	
69	1264	9766
70	614	
71	-40	
72	-254	
72	-254	9710
73	-340	
74	-267	
75	-24	
76	157	
76	157	9808
77	152	
78	-87	
79	-307	
80	-241	
80	-241	9850
81	-74	
82	336	
83	509	
84	497	
84	497	9842
85	354	
86	150	
87	53	
87	53	9710
88	-66	
89	-83	
90	-62	
91	36	
91	36	9800
92	93	
93	58	
94	-18	
95	-93	
95	-93	9808
96	-127	
97	-161	
98	-130	
99	-101	
99	-101	9766
100	-101	
101	-111	
102	-105	
102	-105	9716
103	-9	
104	59	
105	177	
106	210	
106	210	9758
107	172	
108	0	
109	-120	
110	-111	
110	-111	9724
111	-57	
112	18	
113	-18	
113	-18	9808
114	-56	
115	-114	
116	-114	
117	-100	
117	-100	9856
118	-87	
119	-76	
120	-36	
121	4	
121	4	9794
122	1	
123	-21	
124	-55	
125	-38	
125	-38	9794
126	-2	
127	68	
128	94	
128	94	9752
129	115	
130	83	
131	42	
132	-3	
132	-3	9744
133	57	
134	146	
135	176	
136	195	
136	195	9696
137	163	
138	145	
139	129	
140	162	
140	162	9696
141	183	
142	158	
143	113	
144	31	
144	31	9660
145	21	
146	46	
147	117	
148	126	
148	126	9618
149	60	
150	43	
151	92	
151	92	9702
152	151	
153	136	
154	53	
155	6	
155	6	9766
156	-50	
157	-2	
158	39	
159	101	
159	101	9716
160	113	
161	108	
162	75	
163	39	
163	39	9716
164	15	
165	22	
166	59	
167	72	
167	72	9724
168	71	
169	36	
170	-5	
170	-5	9632
171	-84	
172	-77	
173	-49	
174	1	
174	1	9674
175	35	
176	40	
177	48	
178	49	
178	49	9758
179	28	
180	21	
181	-20	
182	-31	
182	-31	9744
183	2	
184	44	
185	53	
185	53	9660
186	53	
187	88	
188	120	
189	181	
189	181	9696
190	178	
191	157	
192	130	
193	135	
193	135	9738
194	138	
195	136	
196	147	
197	159	
197	159	9640
198	164	
199	143	
200	122	
201	64	
201	64	9682
202	12	
203	0	
204	50	
204	50	9548
205	101	
206	69	
207	37	
208	-7	
208	-7	9696
209	13	
210	35	
211	87	
212	111	
212	111	9716
213	120	
214	81	
215	68	
216	80	
216	80	9626
217	127	
218	148	
219	162	
220	178	
220	178	9590
221	159	
222	136	
223	115	
223	115	9766
224	111	
225	98	
226	105	
227	101	
227	101	9674
228	93	
229	71	
230	54	
231	31	
231	31	9640
232	27	
233	43	
234	87	
235	101	
235	101	9632
236	92	
237	82	
238	69	
239	71	
239	71	9724
240	94	
241	130	
242	140	
243	119	
243	119	9590
244	82	
245	77	
246	80	
246	80	9752
247	94	
248	102	
249	92	
250	103	
250	103	9758
251	125	
252	181	
253	200	
254	200	
254	200	9674
255	167	
256	127	
257	105	
258	67	
258	67	9752
259	47	
260	46	
261	67	
261	67	9626
262	125	
263	140	
264	130	
265	58	
265	58	9752
266	-10	
267	-185	
268	-373	
269	-449	
269	-449	9730
270	-588	
271	-750	
272	-875	
273	-1149	
273	-1149	9542
274	-1313	
275	-1317	
276	-1127	
277	-873	
277	-873	9640
278	-814	
279	-934	
280	-1187	
281	-1307	
281	-1307	9428
282	-1520	
283	-1595	
284	-1579	
284	-1579	9218
285	-1623	
286	-1905	
287	-2032	
288	-2013	
288	-2013	8966
289	-1858	
290	-1265	
291	-577	
292	-185	
292	-185	8412
293	-125	
294	-74	
295	-40	
296	19	
296	19	8018
297	201	
298	363	
299	430	
299	430	7640
300	518	
301	553	
302	531	
303	480	
303	480	7310
304	512	
305	641	
306	622	
307	397	
307	397	7000
308	306	
309	393	
310	725	
310	725	6874
311	868	
312	997	
313	983	
314	966	
314	966	6594
315	959	
316	978	
317	1012	
318	900	
318	900	6390
319	849	
320	805	
321	820	
321	820	6278
322	855	
323	887	
324	922	
325	817	
325	817	6158
326	698	
327	469	
328	342	
329	299	
329	299	6068
330	284	
331	293	
332	302	
332	302	5976
333	320	
334	312	
335	301	
336	326	
336	326	5914
337	394	
338	444	
339	535	
340	506	
340	506	5842
341	447	
342	339	
343	305	
343	305	5836
344	245	
345	122	
346	61	
347	-31	
347	-31	5856
348	-68	
349	-62	
350	-64	
351	-40	
351	-40	5850
352	5	
353	36	
354	96	
355	173	
355	173	5808
356	182	
357	106	
358	34	
358	34	5800
359	-136	
360	-233	
361	-225	
362	-125	
362	-125	5836
363	-18	
364	13	
365	6	
366	-30	
366	-30	5836
367	-31	
368	-6	
369	78	
370	68	
370	68	5836
371	24	
372	-45	
373	-45	
373	-45	5836
374	28	
375	118	
376	150	
377	152	
377	152	5794
378	79	
379	21	
380	-4	
381	-34	
381	-34	5800
382	-6	
383	16	
384	8	
384	8	5850
385	-21	
386	-80	
387	-95	
388	-81	
388	-81	5822
389	-58	
390	-57	
391	-80	
392	-162	
392	-162	5870
393	-225	
394	-196	
395	-145	
395	-145	5870
396	-48	
397	-65	
398	-118	
399	-211	
399	-211	5828
400	-243	
401	-247	
402	-197	
403	-150	
403	-150	5864
404	-61	
405	-14	
406	15	
406	15	5822
407	26	
408	45	
409	44	
410	35	
410	35	5822
411	14	
412	-3	
413	-29	
414	-61	
414	-61	5864
415	-78	
416	-89	
417	-75	
417	-75	5828
418	-75	
419	-63	
420	-50	
421	-46	
421	-46	5828
422	-23	
423	25	
424	41	
425	28	
425	28	5836
426	-22	
427	-62	
428	-157	
428	-157	5842
429	-187	
430	-158	
431	-52	
432	6	
432	6	5842
433	0	
434	-60	
435	-129	
436	-97	
436	-97	5884
437	-54	
438	3	
439	2	
440	-31	
440	-31	5892
441	-46	
442	-36	
443	28	
443	28	5842
444	143	
445	215	
446	306	
447	344	
447	344	5892
448	361	
449	413	
450	458	
451	798	
451	798	5914
452	948	
453	1181	
454	1294	
455	1400	
455	1400	5942
456	1283	
457	1177	
458	966	
458	966	6074
459	884	
460	890	
461	898	
462	889	
462	889	6222
463	847	
464	717	
465	739	
466	808	
466	808	6412
467	1028	
468	1035	
469	969	
469	969	6628
470	714	
471	524	
472	475	
473	521	
473	521	6888
474	627	
475	676	
476	701	
477	670	
477	670	7148
478	556	
479	361	
480	199	
480	199	7442
481	149	
482	90	
483	-69	
484	-173	
484	-173	7702
485	-345	
486	-426	
487	-428	
488	-440	
488	-440	8026
489	-569	
490	-678	
491	-853	
492	-906	
492	-906	8242
493	-902	
494	-748	
495	-513	
495	-513	8488
496	-440	
497	-408	
498	-514	
499	-570	
499	-570	8622
500	-610	
501	-550	
502	-493	
503	-426	
503	-426	8776
504	-458	
505	-499	
506	-570	
507	-579	
507	-579	8924
508	-544	
509	-485	
510	-412	
510	-412	8994
511	-374	
512	-284	
513	-166	
514	-113	
514	-113	9070
515	-63	
516	-47	
517	-38	
518	-35	
518	-35	9128
519	-71	
520	-184	
521	-261	
522	-257	
522	-257	9142
523	-152	
524	-28	
525	36	
526	26	
526	26	9134
527	-28	
528	-30	
529	0	
529	0	9114
530	55	
531	96	
532	96	
533	79	
533	79	9114
534	65	
535	78	
536	159	
537	220	
537	220	9148
538	225	
539	168	
540	79	
541	35	
541	35	9156
542	-15	
543	17	
544	48	
544	48	9106
545	94	
546	115	
547	157	
548	193	
548	193	9142
549	192	
550	131	
551	34	
552	-14	
552	-14	9148
553	-14	
554	30	
555	109	
556	151	
556	151	9142
557	158	
558	44	
559	-18	
560	-69	
560	-69	9100
561	-26	
562	138	
563	246	
563	246	9084
564	254	
565	192	
566	118	
567	93	
567	93	9084
568	84	
569	96	
570	162	
571	188	
571	188	9120
572	195	
573	177	
574	134	
575	132	
575	132	9084
576	137	
577	142	
578	127	
579	86	
579	86	9050
580	68	
581	60	
582	75	
583	71	
583	71	9092
584	74	
585	119	
586	134	
586	134	9106
587	109	
588	81	
589	12	
590	-43	
590	-43	9106
591	-42	
592	9	
593	65	
594	92	
594	92	9106
595	92	
596	41	
597	-37	
598	-65	
598	-65	9114
599	-46	
600	3	
601	116	
602	183	
602	183	9106
603	186	
604	175	
605	156	
605	156	9100
606	130	
607	114	
608	114	
609	160	
609	160	9050
610	180	
611	193	
612	147	
613	121	
613	121	9128
614	98	
615	112	
616	169	
617	228	
617	228	9084
618	233	
619	187	
620	111	
620	111	9100
621	42	
622	21	
623	33	
624	97	
624	97	9134
625	122	
626	103	
627	75	
628	46	
628	46	9100
629	52	
630	66	
631	67	
632	13	
632	13	9148
633	-3	
634	32	
635	58	
636	16	
636	16	9100
637	-47	
638	-259	
639	-487	
639	-487	9092
640	-555	
641	-577	
642	-541	
643	-486	
643	-486	9036
644	-566	
645	-663	
646	-946	
647	-1094	
647	-1094	8994
648	-1099	
649	-1034	
650	-997	
651	-976	
651	-976	8868
652	-1000	
653	-1121	
654	-1231	
655	-1252	
655	-1252	8692
656	-1229	
657	-1203	
658	-1054	
658	-1054	8502
659	-900	
660	-850	
661	-758	
662	-643	
662	-643	8222
663	-554	
664	-308	
665	-33	
666	167	
666	167	7878
667	247	
668	364	
669	429	
669	429	7422
670	518	
671	509	
672	471	
673	412	
673	412	7184
674	422	
675	445	
676	503	
677	566	
677	566	6874
678	588	
679	597	
680	626	
681	656	
681	656	6678
682	696	
683	775	
684	816	
684	816	6468
685	846	
686	774	
687	702	
688	561	
688	561	6284
689	493	
690	487	
691	498	
692	475	
692	475	6124
693	458	
694	455	
695	489	
695	489	6012
696	512	
697	631	
698	787	
699	835	
699	835	5900
700	879	
701	864	
702	832	
703	729	
703	729	5786
704	620	
705	578	
706	506	
706	506	5758
707	453	
708	350	
709	361	
710	387	
710	387	5724
711	371	
712	276	
713	142	
714	82	
714	82	5724
715	1	
716	2	
717	11	
717	11	5716
718	-14	
719	-68	
720	-85	
721	-118	
721	-118	5758
722	-115	
723	-91	
