date	accel	sonar
0	-136	
0	-136	10854
1	-143	
2	-178	
2	-178	10818
3	-198	
4	-204	
5	-199	
5	-199	10902
6	-178	
7	-173	
8	-206	
9	-221	
9	-221	10854
10	-201	
11	-134	
12	-86	
13	-48	
13	-48	10986
14	-36	
15	-21	
16	-8	
17	-86	
17	-86	10854
18	-136	
19	-178	
20	-156	
21	-111	
21	-111	10854
22	-100	
23	-99	
24	-93	
25	-76	
25	-76	10896
26	-97	
27	-106	
28	-96	
29	-34	
29	-34	10930
30	-12	
31	23	
32	62	
33	131	
33	131	10888
34	132	
35	110	
36	7	
36	7	10840
37	-102	
38	-82	
39	-17	
40	132	
40	132	10874
41	201	
42	180	
43	73	
44	12	
44	12	10832
45	-76	
46	-88	
47	-75	
48	-50	
48	-50	10874
49	-34	
50	-31	
51	-53	
52	-37	
52	-37	10916
53	52	
54	96	
55	149	
56	179	
56	179	10832
57	174	
58	104	
59	67	
60	17	
60	17	10924
61	-16	
62	-37	
63	-54	
63	-54	10840
64	-18	
65	-5	
66	35	
67	52	
67	52	10804
68	66	
69	87	
70	108	
71	105	
71	105	10860
72	83	
73	33	
74	5	
75	-26	
75	-26	10902
76	-58	
77	-84	
78	-143	
79	-146	
79	-146	10874
80	-113	
81	-6	
82	54	
83	21	
83	21	10972
84	-17	
85	-73	
86	-67	
87	-16	
87	-16	10882
88	21	
89	17	
90	-19	
90	-19	10888
91	-52	
92	-69	
93	-60	
94	-16	
94	-16	10636
95	13	
96	14	
97	62	
98	127	
98	127	10896
99	160	
100	177	
101	150	
102	60	
102	60	10854
103	-5	
104	-18	
105	-14	
106	12	
106	12	10826
107	15	
108	12	
109	5	
110	40	
110	40	10952
111	46	
112	-7	
113	-54	
113	-54	10790
114	-131	
115	-152	
116	-156	
117	-139	
117	-139	10924
118	-90	
119	-66	
120	-33	
121	-11	
121	-11	10882
122	-5	
123	16	
124	52	
125	96	
125	96	10790
126	104	
127	73	
128	56	
129	34	
129	34	10924
130	28	
131	33	
132	44	
133	56	
133	56	10832
134	64	
135	77	
136	30	
136	30	10608
137	2	
138	-21	
139	29	
140	66	
140	66	10784
141	128	
142	148	
143	145	
144	112	
144	112	10608
145	53	
146	26	
147	-2	
148	24	
148	24	10656
149	72	
150	85	
151	46	
152	11	
152	11	10748
153	-36	
154	3	
155	41	
156	109	
156	109	10798
157	118	
158	95	
159	43	
160	36	
160	36	10706
161	51	
162	74	
163	33	
163	33	10664
164	7	
165	-6	
166	44	
167	66	
167	66	10972
168	76	
169	26	
170	-1	
171	-56	
171	-56	10706
172	-95	
173	-98	
174	-59	
175	28	
175	28	10664
176	47	
177	57	
178	74	
179	122	
179	122	10572
180	166	
181	170	
182	161	
183	115	
183	115	10516
184	108	
185	130	
186	182	
187	190	
187	190	10734
188	165	
189	116	
190	107	
190	107	10860
191	116	
192	97	
193	73	
194	60	
194	60	10728
195	106	
196	167	
197	171	
198	151	
198	151	10636
199	117	
200	102	
201	58	
202	55	
202	55	10728
203	71	
204	133	
205	180	
206	192	
206	192	11042
207	192	
208	159	
209	131	
210	77	
210	77	10552
211	64	
212	75	
213	107	
213	107	10594
214	127	
215	132	
216	146	
217	162	
217	162	10720
218	177	
219	198	
220	217	
221	257	
221	257	10586
222	274	
223	220	
224	176	
225	100	
225	100	10958
226	107	
227	142	
228	224	
229	271	
229	271	10958
230	273	
231	212	
232	63	
233	-17	
233	-17	10958
234	-70	
235	-28	
236	126	
236	126	10958
237	245	
238	219	
239	130	
240	-236	
240	-236	10944
241	-768	
242	-1014	
243	-1412	
244	-1952	
244	-1952	10958
245	-2379	
246	-3410	
247	-3903	
248	-4518	
248	-4518	10650
249	-4505	
250	-4476	
251	-4667	
252	-4999	
252	-4999	10306
253	-4956	
254	-4708	
255	-4071	
256	-3309	
256	-3309	9766
257	-2945	
258	-2545	
259	-2262	
259	-2262	8938
260	-2013	
261	-1251	
262	-775	
263	-55	
263	-55	7976
264	370	
265	501	
266	502	
267	592	
267	592	7148
268	1368	
269	2035	
270	3353	
270	3353	6250
271	3998	
272	3895	
273	3428	
274	3526	
274	3526	5570
275	4438	
276	5284	
277	5304	
278	4971	
278	4971	4804
279	4563	
280	4000	
281	3673	
281	3673	4572
282	3189	
283	2797	
284	2591	
285	2255	
285	2255	4426
286	2115	
287	2051	
288	1797	
289	1619	
289	1619	4284
290	1279	
291	1202	
292	1285	
292	1285	4256
293	1402	
294	1298	
295	1082	
296	1014	
296	1014	4284
297	1007	
298	1032	
299	1013	
300	991	
300	991	4264
301	949	
302	667	
303	352	
303	352	4278
304	344	
305	628	
306	859	
307	834	
307	834	4256
308	602	
309	449	
310	347	
310	347	4314
311	301	
312	281	
313	369	
314	407	
314	407	4328
315	384	
316	345	
317	350	
318	473	
318	473	4334
319	549	
320	586	
321	529	
322	494	
322	494	4348
323	404	
324	335	
325	259	
325	259	4390
326	232	
327	262	
328	323	
329	390	
329	390	4376
330	330	
331	271	
332	236	
332	236	4440
333	319	
334	362	
335	392	
336	351	
336	351	4426
337	317	
338	275	
339	305	
340	358	
340	358	4454
341	366	
342	317	
343	245	
343	245	4474
344	76	
345	11	
346	31	
347	106	
347	106	4510
348	106	
349	63	
350	8	
350	8	4538
351	59	
352	110	
353	233	
354	251	
354	251	4586
355	225	
356	199	
357	262	
358	299	
358	299	4566
359	290	
360	196	
361	153	
361	153	4614
362	153	
363	159	
364	157	
365	141	
365	141	4622
366	143	
367	167	
368	208	
368	208	4586
369	301	
370	323	
371	292	
372	284	
372	284	4594
373	294	
374	277	
375	229	
376	206	
376	206	4608
377	157	
378	139	
379	164	
379	164	4608
380	228	
381	231	
382	187	
383	190	
383	190	4622
384	258	
385	251	
386	182	
387	150	
387	150	4614
388	161	
389	237	
390	322	
390	322	4622
391	340	
392	321	
393	309	
394	319	
394	319	4614
395	368	
396	369	
397	309	
397	309	4614
398	253	
399	188	
400	169	
401	176	
401	176	4622
402	273	
403	311	
404	296	
404	296	4614
405	221	
406	209	
407	285	
408	341	
408	341	4594
409	394	
410	351	
411	321	
412	300	
412	300	4600
413	346	
414	501	
415	599	
415	599	4600
416	880	
417	1465	
418	1903	
419	2847	
419	2847	4664
420	3356	
421	3364	
422	3387	
423	3799	
423	3799	4748
424	4895	
425	5403	
426	5430	
426	5430	5142
427	5458	
428	5482	
429	5277	
430	5023	
430	5023	5668
431	4448	
432	4393	
433	4536	
434	4597	
434	4597	6446
435	4382	
436	3459	
437	2714	
437	2714	7344
438	2552	
439	2156	
440	910	
441	-954	
441	-954	8348
442	-1825	
443	-2837	
444	-3016	
445	-2899	
445	-2899	9170
446	-2620	
447	-2676	
448	-2810	
449	-3249	
449	-3249	9590
450	-3503	
451	-3895	
452	-3642	
453	-3185	
453	-3185	9948
454	-2123	
455	-1501	
456	-1394	
456	-1394	10384
457	-1398	
458	-1260	
459	-747	
460	-484	
460	-484	10018
461	-174	
462	-170	
463	-300	
464	-405	
464	-405	10510
465	-384	
466	-179	
467	84	
468	215	
468	215	10552
469	490	
470	727	
471	912	
472	978	
472	978	10186
473	1041	
474	1025	
475	1008	
475	1008	9814
476	987	
477	970	
478	985	
479	1038	
479	1038	9956
480	1063	
481	1032	
482	902	
483	904	
483	904	9948
484	947	
485	1089	
486	1177	
487	1155	
487	1155	9822
488	1024	
489	965	
490	917	
490	917	9870
491	876	
492	850	
493	800	
494	850	
494	850	10172
495	941	
496	1081	
497	1051	
498	893	
498	893	10474
499	823	
500	852	
501	983	
502	1038	
502	1038	10530
503	1050	
504	1004	
505	874	
505	874	10608
506	781	
507	785	
508	901	
509	1015	
509	1015	10054
510	1051	
511	1040	
512	924	
513	847	
513	847	9998
514	892	
515	1084	
516	1182	
517	1299	
517	1299	9864
518	1309	
519	1275	
520	1148	
521	975	
521	975	10172
522	911	
523	949	
524	1083	
524	1083	10404
525	1128	
526	1109	
527	1015	
528	951	
528	951	10356
529	964	
530	1058	
531	1103	
532	1105	
532	1105	10362
533	1017	
534	988	
535	1007	
536	1081	
536	1081	10418
537	1095	
538	1064	
539	968	
540	921	
540	921	9948
541	920	
542	913	
543	894	
543	894	10040
544	868	
545	822	
546	810	
547	817	
547	817	10264
548	797	
549	785	
550	804	
551	903	
551	903	10214
552	983	
553	999	
554	981	
555	959	
555	959	10180
556	970	
557	984	
558	971	
559	951	
559	951	10748
560	978	
561	995	
562	990	
562	990	10446
563	934	
564	902	
565	851	
566	891	
566	891	10102
567	959	
568	972	
569	970	
570	959	
570	959	10278
571	914	
572	894	
573	904	
574	949	
574	949	10152
575	1013	
576	1021	
577	1006	
577	1006	10328
578	967	
579	948	
580	912	
581	879	
581	879	10334
582	868	
583	872	
584	890	
585	888	
585	888	10166
586	888	
587	916	
588	943	
589	1002	
589	1002	10200
590	1027	
591	1028	
592	976	
593	874	
593	874	10284
594	842	
595	870	
596	984	
597	1064	
597	1064	10250
598	1059	
599	974	
600	748	
600	748	9990
602	636	
603	528	
604	2	
604	2	10208
605	-782	
606	-1214	
607	-1998	
608	-2706	
608	-2706	10306
609	-3117	
610	-3884	
611	-4141	
612	-4134	
612	-4134	10046
613	-4088	
614	-4256	
615	-4334	
616	-4289	
616	-4289	9632
617	-3730	
618	-3348	
619	-2486	
619	-2486	9022
620	-1843	
621	-1487	
622	-1341	
623	-930	
623	-930	8138
624	-437	
625	-219	
626	149	
627	488	
627	488	7148
628	1818	
629	3235	
630	3606	
630	3606	6250
631	3735	
632	3611	
633	3695	
634	4110	
634	4110	5450
635	4601	
636	4730	
637	4858	
638	4869	
638	4869	4812
639	4797	
640	4835	
641	4994	
641	4994	4236
642	4944	
643	4424	
644	3665	
645	3314	
645	3314	4096
646	2889	
647	2745	
648	2653	
648	2653	3934
649	2303	
650	2074	
651	1610	
652	1448	
652	1448	3814
653	1493	
654	1656	
655	1757	
656	1654	
656	1654	3772
657	1531	
658	1257	
659	953	
659	953	3752
660	832	
661	736	
662	704	
663	693	
663	693	3794
664	552	
665	439	
666	291	
666	291	3772
667	426	
668	529	
669	572	
670	396	
670	396	3828
671	250	
672	224	
673	241	
674	157	
674	157	3808
675	77	
676	-54	
677	-112	
677	-112	3850
678	-192	
679	-73	
680	20	
681	190	
681	190	3814
682	289	
683	316	
684	307	
685	305	
685	305	3822
686	380	
687	391	
688	338	
688	338	3856
689	314	
690	296	
691	240	
692	227	
692	227	3814
693	224	
694	258	
695	304	
695	304	3814
696	332	
697	345	
698	405	
699	452	
699	452	3814
700	530	
701	503	
702	464	
703	416	
703	416	3850
704	404	
705	386	
706	354	
706	354	3828
707	332	
708	295	
709	326	
710	341	
710	341	3878
711	313	
712	247	
713	215	
713	215	3842
714	224	
715	281	
716	314	
717	291	
717	291	3892
718	237	
719	214	
720	219	
720	219	3850
721	299	
722	325	
723	287	
724	201	
724	201	3864
725	207	
726	245	
727	312	
728	298	
728	298	3914
729	273	
730	226	
731	219	
731	219	3884
732	205	
733	196	
734	196	
735	197	
735	197	3928
736	162	
737	150	
738	189	
738	189	3878
739	292	
740	347	
741	364	
742	367	
742	367	3900
743	332	
744	316	
745	344	
746	368	
746	368	3934
747	380	
748	352	
749	327	
749	327	3900
750	284	
751	288	
752	320	
753	321	
753	321	3956
754	297	
755	242	
756	225	
757	220	
757	220	3920
758	253	
759	257	
760	232	
760	232	3934
761	221	
762	250	
763	340	
764	371	
764	371	3934
765	365	
766	317	
767	271	
767	271	3948
768	256	
769	232	
770	208	
771	207	
771	207	3956
772	217	
773	243	
774	291	
775	271	
775	271	3998
776	220	
777	133	
778	184	
778	184	3948
779	256	
780	417	
781	467	
782	487	
782	487	3962
783	556	
784	859	
785	1190	
785	1190	3976
786	1321	
787	1551	
788	1859	
789	2920	
789	2920	4088
790	3844	
791	4017	
792	3768	
793	3754	
793	3754	4292
794	4012	
795	4925	
796	5853	
796	5853	4790
797	6296	
798	6221	
799	5784	
800	5589	
800	5589	5478
801	5191	
802	4724	
803	4562	
804	4170	
804	4170	6390
805	3743	
806	3515	
807	2835	
807	2835	6784
808	2146	
809	1875	
810	991	
811	-525	
811	-525	8152
812	-1717	
813	-2061	
814	-2261	
815	-2386	
815	-2386	8966
816	-2861	
817	-3651	
818	-4090	
819	-4718	
819	-4718	9584
820	-4793	
821	-4579	
822	-3885	
822	-3885	9836
823	-3288	
824	-2958	
825	-2781	
826	-2171	
826	-2171	9928
827	-1699	
828	-732	
829	-399	
830	-489	
830	-489	10496
831	-774	
832	-802	
833	-698	
834	-334	
834	-334	10418
835	71	
836	181	
837	169	
838	-129	
838	-129	10348
839	-337	
840	-282	
841	68	
841	68	10214
842	229	
843	439	
844	509	
845	492	
845	492	9856
846	516	
847	640	
848	647	
849	561	
849	561	10342
850	462	
851	438	
852	433	
853	396	
853	396	10124
854	352	
855	300	
856	254	
857	271	
857	271	10158
858	396	
859	584	
860	661	
861	716	
861	716	10138
862	704	
863	718	
864	774	
864	774	10214
865	779	
866	780	
867	750	
868	734	
868	734	9956
869	740	
870	760	
871	749	
872	714	
872	714	10728
873	616	
874	577	
875	562	
876	548	
876	548	9654
877	563	
878	580	
879	613	
879	613	10586
880	638	
881	651	
882	687	
883	679	
883	679	9786
884	631	
885	496	
886	357	
887	310	
887	310	10706
888	325	
889	409	
890	469	
891	558	
891	558	10692
892	535	
893	376	
894	223	
895	237	
895	237	10678
896	329	
897	505	
898	554	
899	528	
899	528	10804
900	413	
901	313	
902	295	
902	295	10706
