date	accel	sonar
0	-742	
0	-742	10700
1	-728	
1	-728	10684
2	-664	
3	-529	
4	-514	
5	-584	
5	-584	10614
6	-748	
7	-818	
8	-819	
9	-827	
9	-827	10614
10	-946	
11	-1018	
12	-1054	
13	-1098	
13	-1098	10544
14	-1000	
15	-849	
16	-655	
17	-295	
17	-295	10510
18	-42	
19	90	
20	162	
21	464	
21	464	10376
22	786	
23	920	
24	1201	
24	1201	10356
25	1400	
26	1359	
27	948	
28	666	
28	666	10404
29	107	
30	-248	
31	-321	
32	-292	
32	-292	10460
33	-192	
34	-152	
35	-159	
36	-144	
36	-144	10300
37	13	
38	122	
39	239	
39	239	10270
40	187	
41	127	
42	-46	
43	-137	
43	-137	10306
44	-201	
45	-154	
46	-191	
47	-528	
47	-528	10300
48	-1113	
49	-1456	
50	-1407	
51	-940	
51	-940	10376
52	-283	
53	9	
54	437	
55	586	
55	586	10158
56	831	
57	983	
58	973	
58	973	10144
59	784	
60	499	
61	285	
62	230	
62	230	10046
63	240	
64	225	
65	192	
66	176	
66	176	10026
67	231	
68	254	
69	329	
70	363	
70	363	10046
71	385	
72	381	
73	383	
74	375	
74	375	10138
75	304	
76	251	
77	240	
77	240	9998
78	200	
79	111	
80	78	
81	38	
81	38	10102
82	32	
83	66	
84	114	
85	123	
85	123	10082
86	99	
87	42	
88	9	
89	20	
89	20	10130
90	51	
91	59	
92	64	
92	64	10138
93	79	
94	75	
95	68	
96	22	
96	22	10088
97	0	
98	-14	
99	36	
100	93	
100	93	10102
101	194	
102	212	
103	193	
104	138	
104	138	10144
105	95	
106	82	
107	96	
108	120	
108	120	10012
109	126	
110	115	
111	97	
111	97	10060
112	87	
113	70	
114	85	
115	92	
115	92	10124
116	103	
117	98	
118	86	
119	68	
119	68	10116
120	75	
121	121	
122	153	
123	214	
123	214	10026
124	222	
125	205	
126	164	
126	164	10088
127	139	
128	144	
129	177	
130	182	
130	182	10054
131	134	
132	74	
133	76	
134	110	
134	110	9970
135	95	
136	76	
137	88	
138	94	
138	94	10060
139	91	
140	75	
141	66	
141	66	10158
142	75	
143	96	
144	93	
145	102	
145	102	10256
146	105	
147	112	
148	118	
149	116	
149	116	10270
150	87	
151	67	
152	41	
153	59	
