date	accel	sonar
390	1814	
391	1807	
392	1784	
393	1782	
393	1782	8572
394	1788	
395	1818	
396	1820	
397	1800	
397	1800	8530
398	1802	
399	1815	
400	1818	
400	1818	8566
401	1817	
402	1828	
403	1842	
404	1833	
404	1833	8530
405	1801	
406	1786	
407	1782	
408	1774	
408	1774	8530
409	1779	
410	1794	
411	1827	
411	1827	8516
412	1837	
413	1867	
414	1883	
415	1882	
415	1882	8552
416	1863	
417	1813	
418	1792	
419	1785	
419	1785	8510
420	1786	
421	1797	
422	1824	
423	1848	
423	1848	8552
424	1847	
425	1830	
426	1816	
426	1816	8510
427	1804	
428	1805	
429	1819	
430	1823	
430	1823	8544
431	1814	
432	1822	
433	1834	
434	1842	
434	1842	8544
435	1835	
436	1827	
437	1833	
438	1810	
438	1810	8496
439	1807	
440	1823	
441	1807	
441	1807	8502
442	1792	
443	1783	
444	1780	
445	1789	
445	1789	8502
446	1816	
447	1820	
448	1819	
449	1800	
449	1800	8530
450	1780	
451	1769	
452	1768	
453	1766	
453	1766	8496
454	1780	
455	1790	
456	1785	
456	1785	8524
457	1796	
458	1833	
459	1830	
460	1815	
460	1815	8510
461	1810	
462	1845	
463	1844	
464	1830	
464	1830	8502
465	1846	
466	1865	
467	1860	
468	1842	
468	1842	8460
469	1835	
470	1863	
471	1890	
471	1890	8488
472	1899	
473	1875	
474	1841	
475	1835	
475	1835	8488
476	1828	
477	1830	
478	1840	
479	1920	
479	1920	8482
480	1960	
481	1985	
482	1942	
483	1922	
483	1922	8432
484	1893	
485	1857	
486	1865	
486	1865	8418
487	1882	
488	1916	
489	1941	
490	1942	
490	1942	8426
491	1931	
492	1921	
493	1925	
494	1915	
494	1915	8412
495	1904	
496	1911	
497	1927	
497	1927	8412
498	1943	
499	1951	
500	1951	
501	1953	
501	1953	8412
502	1943	
503	1961	
504	1960	
505	1959	
505	1959	8404
506	1930	
507	1911	
508	1896	
509	1890	
509	1890	8398
510	1898	
511	1927	
512	1931	
512	1931	8432
513	1940	
514	1956	
515	1961	
516	1962	
516	1962	8426
517	1947	
518	1918	
519	1915	
520	1915	
520	1915	8426
521	1920	
522	1922	
523	1924	
524	1938	
524	1938	8384
525	1949	
526	1961	
527	1954	
527	1954	8426
528	1926	
529	1929	
530	1944	
531	1971	
531	1971	8384
532	1980	
533	1973	
534	1967	
535	1969	
535	1969	8376
536	1970	
537	1957	
538	1952	
538	1952	8370
539	1950	
540	1956	
541	1974	
542	1982	
542	1982	8412
543	1961	
544	1962	
545	1967	
546	2007	
546	2007	8362
547	2012	
548	2030	
549	2033	
550	2010	
550	2010	8404
551	1964	
552	1937	
553	1947	
553	1947	8404
554	1962	
555	1985	
556	1996	
557	1997	
557	1997	8404
558	1959	
559	1948	
560	1916	
561	1906	
561	1906	8398
562	1916	
563	1958	
564	1972	
564	1972	8356
565	2002	
566	2034	
567	2008	
568	1981	
568	1981	8356
569	1958	
570	1963	
571	1965	
572	1963	
572	1963	8356
573	1990	
574	1995	
575	1971	
576	1957	
576	1957	8404
577	1940	
578	1946	
579	1996	
579	1996	8404
580	2023	
581	2022	
582	1983	
583	1962	
583	1962	8398
584	1937	
585	1920	
586	1933	
587	1956	
587	1956	8440
588	1965	
589	1977	
590	1975	
591	1960	
591	1960	8370
592	1957	
593	1959	
594	1967	
594	1967	8356
595	1979	
596	1980	
597	1958	
598	1948	
598	1948	8398
599	1955	
600	1956	
601	1956	
602	1975	
602	1975	8356
603	1999	
604	2031	
605	2028	
605	2028	8398
606	2012	
607	1972	
608	1940	
609	1924	
609	1924	8390
610	1928	
611	1955	
612	2012	
613	2034	
613	2034	8348
614	2040	
615	2022	
616	1984	
617	1938	
617	1938	8384
618	1922	
