date	accel	sonar
0	76	
0	76	9204
1	-3	
1	-3	9212
2	13	
3	62	
4	177	
5	226	
5	226	9162
6	195	
7	175	
8	151	
9	145	
9	145	9162
10	180	
11	269	
12	303	
13	338	
13	338	9156
14	334	
15	316	
16	272	
16	272	9198
17	242	
18	250	
19	315	
20	323	
20	323	9204
21	303	
22	229	
23	153	
24	155	
24	155	9254
25	183	
26	230	
27	239	
28	208	
28	208	9218
29	184	
30	197	
31	267	
32	310	
32	310	9226
33	307	
34	261	
35	230	
36	208	
36	208	9310
37	188	
38	167	
39	165	
39	165	9282
40	195	
41	210	
42	194	
43	132	
43	132	9282
44	66	
45	69	
46	137	
47	208	
47	208	9274
48	229	
49	217	
50	184	
51	159	
51	159	9274
52	162	
53	197	
54	199	
55	192	
55	192	9282
56	222	
57	234	
58	199	
58	199	9190
59	146	
60	137	
61	171	
62	248	
62	248	9226
63	273	
64	274	
65	254	
66	198	
66	198	9212
67	181	
68	232	
69	278	
70	330	
70	330	9212
71	311	
72	283	
73	256	
74	245	
74	245	9260
75	255	
76	239	
77	229	
77	229	9212
78	212	
79	193	
80	197	
81	194	
81	194	9268
82	194	
83	237	
84	262	
85	287	
85	287	9218
86	246	
87	202	
88	122	
89	76	
89	76	9310
90	67	
91	88	
92	128	
93	155	
93	155	9268
94	182	
95	173	
96	147	
97	140	
97	140	9268
98	172	
99	206	
100	239	
100	239	9218
101	217	
102	188	
103	138	
104	129	
104	129	9226
105	144	
106	164	
107	186	
108	210	
108	210	9260
109	211	
110	173	
111	147	
112	125	
112	125	9260
113	157	
114	204	
115	274	
115	274	9260
116	301	
117	297	
118	272	
119	255	
119	255	9218
120	240	
121	258	
122	264	
123	242	
123	242	9254
124	201	
125	153	
126	140	
127	153	
127	153	9254
128	205	
129	235	
130	268	
131	279	
131	279	9212
132	276	
133	233	
134	214	
135	169	
135	169	9254
136	145	
137	146	
138	159	
138	159	9268
139	139	
140	131	
141	128	
142	112	
142	112	9268
143	77	
144	63	
145	65	
146	86	
146	86	9268
147	128	
148	94	
149	56	
150	-26	
150	-26	9274
151	-88	
152	-91	
153	-108	
154	-69	
154	-69	9274
155	-37	
156	-50	
157	-63	
157	-63	9212
158	-58	
159	-52	
160	-43	
161	-38	
161	-38	9162
162	-5	
163	17	
164	-4	
165	-77	
165	-77	9142
166	-142	
167	-179	
168	-173	
169	-104	
169	-104	9078
170	-52	
171	-43	
172	-70	
173	-87	
173	-87	9008
174	-153	
175	-211	
176	-221	
176	-221	8972
177	-152	
178	-57	
179	10	
180	22	
180	22	8882
181	3	
182	-8	
183	-7	
184	-1	
184	-1	8742
185	36	
186	80	
187	166	
188	181	
188	181	8636
189	133	
