date	accel	sonar
0	384	
0	384	10040
1	250	
2	257	
2	257	9934
3	358	
4	404	
5	272	
5	272	10292
6	194	
7	139	
8	195	
9	209	
9	209	10264
10	198	
11	169	
12	157	
13	101	
13	101	10566
14	34	
15	-145	
16	-283	
17	-317	
17	-317	10496
18	-222	
19	76	
20	251	
21	230	
21	230	9984
22	58	
23	15	
24	84	
24	84	10082
25	339	
26	480	
27	457	
28	327	
28	327	9956
29	305	
30	452	
31	714	
32	793	
32	793	10060
33	730	
34	493	
35	405	
36	467	
36	467	9998
37	605	
38	580	
39	511	
40	368	
40	368	10186
41	349	
42	441	
43	513	
43	513	10088
44	494	
45	333	
46	87	
47	-5	
47	-5	10166
48	-37	
49	2	
50	-23	
51	-62	
51	-62	9724
52	-103	
53	-47	
54	20	
55	166	
55	166	10018
56	219	
57	246	
58	153	
58	153	10124
59	106	
60	19	
61	12	
62	117	
62	117	10004
63	173	
64	223	
65	129	
66	43	
66	43	10144
67	-96	
68	-114	
69	-83	
70	4	
70	4	10200
71	45	
72	39	
73	-28	
74	-64	
74	-64	10060
75	-55	
76	86	
77	226	
77	226	10242
78	251	
79	234	
80	184	
81	151	
81	151	10194
82	110	
83	112	
84	137	
85	163	
85	163	10242
86	167	
87	155	
88	146	
89	147	
89	147	10334
90	145	
91	131	
92	127	
93	121	
93	121	10096
94	98	
95	85	
96	53	
96	53	10362
97	23	
98	27	
99	66	
100	86	
100	86	10278
101	63	
102	-15	
103	-80	
104	-95	
104	-95	10334
105	-114	
106	-120	
107	-111	
108	-99	
108	-99	10334
109	-75	
110	-61	
111	-22	
111	-22	10152
112	50	
113	80	
114	89	
115	25	
115	25	10144
116	-6	
117	-42	
118	-15	
119	-13	
119	-13	10194
120	-29	
121	-91	
122	-130	
123	-139	
123	-139	10228
124	-58	
125	-12	
126	46	
127	74	
127	74	10172
128	90	
129	105	
130	63	
130	63	10432
131	48	
132	93	
133	219	
134	276	
134	276	10074
135	258	
136	159	
137	99	
138	20	
138	20	10116
139	45	
140	80	
141	106	
142	34	
142	34	10082
143	-23	
144	-122	
145	-103	
146	-50	
146	-50	10124
147	34	
148	38	
149	-25	
149	-25	10166
150	-15	
151	50	
152	87	
153	133	
153	133	10130
154	144	
155	146	
156	150	
157	130	
157	130	10074
158	120	
159	117	
160	116	
161	98	
161	98	10208
162	43	
163	-30	
164	-60	
165	-47	
165	-47	10138
166	-46	
167	-51	
168	-56	
168	-56	10172
169	-13	
170	8	
171	5	
172	-17	
172	-17	10222
173	-18	
174	31	
175	107	
176	133	
176	133	10130
177	148	
178	124	
179	102	
180	64	
180	64	10314
181	56	
182	59	
183	30	
184	-9	
184	-9	10096
185	-22	
186	-37	
187	-27	
187	-27	10096
188	-29	
189	-58	
190	-62	
191	-35	
191	-35	10496
192	63	
193	165	
194	166	
195	98	
195	98	9956
196	35	
197	21	
198	34	
199	76	
199	76	10228
200	99	
201	98	
202	78	
202	78	10250
203	33	
204	37	
205	73	
206	108	
206	108	10040
207	151	
208	125	
209	86	
210	-3	
210	-3	9998
211	-50	
212	-49	
213	-26	
214	-16	
214	-16	10040
215	-15	
216	1	
217	24	
217	24	10292
218	120	
219	215	
220	222	
221	174	
221	174	10032
222	74	
223	81	
224	111	
225	151	
225	151	10060
226	138	
227	120	
228	102	
229	101	
229	101	10468
230	125	
231	126	
232	119	
233	104	
233	104	10284
234	111	
235	74	
236	43	
237	3	
237	3	10158
238	40	
239	76	
240	95	
240	95	10110
241	49	
242	22	
243	-6	
244	-13	
244	-13	10124
245	-22	
246	-17	
247	-10	
248	-13	
248	-13	10460
249	-23	
250	21	
251	61	
252	131	
252	131	9962
253	125	
254	120	
255	133	
256	139	
256	139	10376
257	132	
258	92	
259	64	
259	64	9780
260	11	
261	-24	
262	13	
263	56	
263	56	10138
264	156	
265	208	
266	214	
267	193	
267	193	9934
268	149	
269	124	
270	110	
271	117	
271	117	10370
272	117	
273	59	
274	12	
274	12	10250
275	-61	
276	-64	
277	12	
278	62	
278	62	10384
279	132	
280	118	
281	97	
282	66	
282	66	10516
283	69	
284	106	
285	144	
286	154	
286	154	10250
287	100	
288	13	
289	-19	
290	-11	
290	-11	10348
291	44	
292	62	
293	52	
293	52	10474
294	34	
295	57	
296	72	
297	62	
297	62	10398
298	38	
299	-5	
300	-15	
301	-21	
301	-21	10398
302	-18	
303	23	
304	54	
305	109	
305	109	10300
306	133	
307	145	
308	129	
309	40	
309	40	10334
310	-22	
311	-8	
312	90	
313	129	
313	129	10342
314	55	
315	-294	
316	-543	
316	-543	10510
317	-968	
318	-1089	
319	-1107	
320	-1274	
320	-1274	9814
321	-1997	
322	-3643	
323	-4590	
324	-6016	
324	-6016	10144
325	-6364	
326	-6556	
327	-6427	
327	-6427	9528
328	-6301	
329	-6093	
330	-5965	
331	-5855	
331	-5855	8882
332	-5487	
333	-4801	
334	-3883	
335	-3283	
335	-3283	7942
336	-1553	
337	470	
338	1385	
339	2811	
339	2811	7142
340	3375	
341	3978	
342	4231	
342	4231	6300
343	4521	
344	5605	
345	6621	
346	6808	
346	6808	5640
347	6308	
348	5201	
349	4316	
350	3961	
350	3961	5218
351	3264	
352	3049	
353	3062	
353	3062	4986
354	2732	
355	2448	
356	1989	
357	1787	
357	1787	4874
358	1716	
359	1526	
360	1285	
360	1285	4812
361	1205	
362	1116	
363	1113	
364	1251	
364	1251	4784
365	1247	
366	1070	
367	920	
368	584	
368	584	4734
369	441	
370	467	
371	646	
371	646	4734
372	770	
373	783	
374	684	
375	542	
375	542	4770
376	514	
377	498	
378	453	
378	453	4784
379	283	
380	166	
381	169	
382	208	
382	208	4748
383	269	
384	338	
385	378	
386	374	
386	374	4798
387	285	
388	252	
389	294	
389	294	4804
390	316	
391	308	
392	287	
393	290	
393	290	4784
394	276	
395	206	
396	133	
397	139	
397	139	4840
398	200	
399	186	
400	150	
400	150	4840
401	140	
402	146	
403	147	
404	182	
404	182	4812
405	207	
406	221	
407	154	
407	154	4860
408	145	
409	168	
410	243	
411	249	
411	249	4826
412	235	
413	215	
414	260	
414	260	4826
415	293	
416	291	
417	259	
418	230	
418	230	4832
419	231	
420	225	
421	231	
422	229	
422	229	4854
423	160	
424	138	
425	141	
425	141	4860
426	113	
427	76	
428	48	
429	94	
429	94	4910
430	126	
431	241	
432	297	
432	297	4860
433	322	
434	214	
435	140	
436	39	
436	39	4874
437	61	
438	84	
439	68	
440	43	
440	43	4902
441	72	
442	103	
443	153	
443	153	4902
444	165	
445	173	
446	192	
447	204	
447	204	4888
448	208	
449	257	
450	290	
450	290	4854
451	318	
452	284	
453	202	
454	181	
454	181	4888
455	182	
456	189	
457	168	
458	147	
458	147	4854
459	158	
460	217	
461	218	
461	218	4854
462	189	
463	103	
464	74	
465	102	
465	102	4846
466	126	
467	160	
468	125	
469	109	
469	109	4840
470	124	
471	150	
472	185	
472	185	4840
473	140	
474	130	
475	174	
476	257	
476	257	4826
477	279	
478	256	
479	164	
479	164	4818
480	146	
481	156	
482	205	
483	277	
483	277	4818
484	304	
485	275	
486	235	
486	235	4812
487	186	
488	239	
489	278	
490	293	
490	293	4846
491	232	
492	192	
493	155	
494	170	
494	170	4860
495	160	
496	158	
497	172	
497	172	4860
498	198	
499	213	
500	178	
501	141	
501	141	4832
502	59	
503	-6	
504	-12	
504	-12	4874
505	58	
506	180	
507	192	
508	112	
508	112	4832
509	54	
510	140	
511	193	
512	171	
512	171	4868
513	118	
514	51	
515	82	
515	82	4860
516	118	
517	179	
518	185	
519	177	
519	177	4860
520	254	
521	709	
522	1120	
522	1120	4832
523	2106	
524	3005	
525	4397	
526	5172	
526	5172	4938
527	6055	
528	6184	
529	6544	
530	7675	
530	7675	5274
531	8353	
532	9702	
533	9312	
533	9312	6116
534	8238	
535	5071	
536	2102	
537	392	
537	392	7148
538	-189	
539	-1398	
540	-2157	
541	-3641	
541	-3641	8138
542	-4509	
543	-4575	
544	-4092	
545	-3045	
545	-3045	8916
546	-2532	
547	-2193	
548	-2560	
548	-2560	9484
549	-2787	
550	-2964	
551	-2683	
552	-2329	
552	-2329	9758
553	-2228	
554	-2097	
555	-1981	
556	-1425	
556	-1425	10068
557	-778	
558	-618	
559	-645	
560	-774	
560	-774	9928
561	-817	
562	-799	
563	-866	
564	-990	
564	-990	10678
565	-1382	
566	-1488	
567	-1364	
568	-873	
568	-873	10742
569	-732	
570	-836	
571	-1192	
571	-1192	10832
572	-1093	
573	-804	
574	16	
575	529	
575	529	10902
576	449	
577	226	
578	-351	
579	-753	
579	-753	10882
580	-842	
581	-762	
582	-643	
583	-492	
583	-492	10924
584	-437	
585	-463	
586	-492	
587	-350	
587	-350	10902
588	-230	
589	-18	
590	57	
591	70	
591	70	10376
592	73	
593	171	
594	237	
594	237	10328
595	325	
596	273	
597	204	
598	58	
598	58	10714
599	-1	
600	-4	
601	-14	
602	56	
602	56	10524
603	131	
604	276	
605	321	
606	358	
606	358	10762
607	413	
608	383	
609	333	
610	213	
610	213	10720
611	178	
612	143	
613	8	
614	-30	
614	-30	10292
615	20	
616	119	
617	234	
617	234	10242
618	261	
619	254	
620	220	
621	188	
621	188	10412
622	201	
623	345	
624	403	
625	363	
625	363	10284
626	298	
627	236	
628	113	
629	114	
629	114	10650
630	140	
631	213	
632	221	
633	218	
633	218	10314
634	132	
635	34	
636	30	
636	30	10818
637	81	
638	203	
639	246	
640	208	
640	208	10776
641	119	
642	84	
643	65	
644	168	
644	168	10812
645	222	
646	252	
647	208	
648	128	
648	128	10812
649	131	
650	154	
651	176	
652	250	
652	250	10200
653	244	
654	230	
655	230	
655	230	10762
656	236	
657	244	
658	247	
659	274	
659	274	10798
660	348	
661	375	
662	352	
663	279	
663	279	10784
664	257	
665	264	
666	245	
667	211	
667	211	10656
668	221	
669	237	
670	217	
671	173	
671	173	10790
672	155	
673	145	
674	135	
675	87	
675	87	10874
676	-2	
677	-102	
678	-255	
679	-649	
679	-649	10784
680	-1728	
681	-2331	
682	-3445	
683	-4476	
683	-4476	10684
684	-5040	
685	-6074	
686	-6519	
686	-6519	10158
687	-6802	
688	-7076	
689	-7044	
690	-6183	
